City,Zip Code,County,Latitude,Longitude,,"Population estimates, July 1, 2019,  (V2019)","Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2019)","Population estimates base, April 1, 2010,  (V2018)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
New Brunswick,8901,Middlesex,40.488304,-74.44775,,NA,"56,100",NA,"54,500",NA,2.90%,"55,181",6.80%,23.20%,5.70%,52.00%,64.20%,14.60%,0.10%,10.00%,0.00%,2.00%,50.10%,24.70%,525,34.00%,X,17.20%,"$257,400 ","$1,956 ",$957 ,"$1,445 ",X,"14,893",3.18,84.10%,55.00%,85.70%,74.00%,63.00%,21.70%,4.30%,20.70%,51.90%,44.10%,"127,075","1,458,287","381,357","751,088","179,461","$3,196 ",26.9,"$42,185 ","$15,347 ",34.20%,X,X,X,X,X,"2,126","1,325",590,"1,077",875,124,"1,815","10,556.90",5.23,"""3451210"""
New Milford,7646,Bergen,40.936211,-74.0188,,NA,"16,558",NA,"16,343",NA,1.30%,"16,341",6.90%,20.40%,16.20%,50.30%,69.50%,3.40%,0.30%,19.40%,0.00%,2.60%,18.20%,57.30%,599,30.80%,X,62.60%,"$413,400 ","$3,142 ","$1,260 ","$1,424 ",X,"5,806",2.82,91.00%,43.90%,93.10%,89.20%,94.00%,43.20%,4.80%,6.30%,69.20%,63.50%,"12,670","27,505",D,"20,821","78,439","$4,753 ",32.8,"$91,900 ","$43,085 ",5.60%,X,X,X,X,X,"1,445",791,521,526,846,44,"1,303","7,186.00",2.27,"""3451660"""
New Providence,7974,Union,40.698268,-74.40225,,NA,"13,486",NA,"12,199",NA,10.60%,"12,171",7.20%,27.40%,14.80%,51.00%,80.60%,1.00%,0.20%,14.20%,0.00%,3.40%,7.70%,73.60%,403,16.60%,X,77.70%,"$595,200 ","$3,433 ","$1,500+","$1,634 ",X,"4,417",2.86,91.30%,21.30%,95.30%,92.30%,97.50%,69.40%,2.80%,4.70%,68.30%,58.70%,D,"80,536",D,"313,814","82,196","$6,637 ",36.2,"$134,141 ","$65,307 ",3.30%,X,X,X,X,X,"1,133",646,335,322,715,42,"1,030","3,343.70",3.64,"""3451810"""
Newark,7101,Essex,40.736101,-74.22509,,NA,"282,090",NA,"277,107",NA,1.80%,"277,140",7.70%,24.90%,10.00%,51.10%,26.10%,49.70%,0.50%,2.10%,0.00%,2.40%,36.40%,10.60%,"5,017",30.60%,X,22.70%,"$231,500 ","$2,122 ",$926 ,"$1,055 ",X,"96,888",2.76,87.90%,47.70%,82.10%,68.80%,74.90%,14.80%,12.60%,20.50%,61.70%,58.70%,"582,379","2,119,780","3,139,443","5,373,530","2,173,876","$7,827 ",35.3,"$35,181 ","$19,313 ",28.00%,X,X,X,X,X,"22,800","10,637","10,369","16,113","5,745","1,398","20,441","11,458.20",24.19,"""3451000"""
Newton,7860,Sussex,41.0714,-74.80199,,NA,"7,938",NA,"8,121",NA,-2.30%,"7,997",4.00%,16.50%,17.90%,49.20%,87.60%,5.00%,0.00%,2.10%,0.00%,0.90%,16.00%,75.90%,425,13.80%,X,47.50%,"$210,300 ","$2,091 ",$989 ,"$1,137 ",X,"3,281",2.27,82.30%,16.20%,85.70%,79.40%,89.50%,24.10%,12.90%,11.20%,60.00%,56.20%,"22,465","250,125",D,"31,039","296,273","$37,713 ",27.9,"$59,661 ","$32,566 ",13.60%,X,X,X,X,X,738,376,181,124,552,F,667,"2,542.00",3.15,"""3451930"""
North Arlington,7031,Bergen,40.791895,-74.13254,,NA,"15,741",NA,"15,392",NA,2.30%,"15,392",4.20%,18.70%,18.00%,50.10%,81.00%,2.60%,0.00%,6.80%,0.00%,2.20%,28.30%,61.20%,364,31.80%,X,52.10%,"$350,600 ","$2,662 ","$1,085 ","$1,350 ",X,"6,248",2.51,96.00%,43.30%,88.40%,83.70%,89.30%,33.00%,7.90%,9.40%,64.30%,57.80%,"19,202","22,518",D,"37,022","74,296","$4,783 ",32.8,"$75,291 ","$39,956 ",11.20%,X,X,X,X,X,"1,083",650,380,365,692,141,912,"6,010.20",2.56,"""3452320"""
Northfield,8225,Atlantic,39.370083,-74.55211,,NA,"8,212",NA,"8,621",NA,-4.70%,"8,624",3.60%,23.70%,16.30%,54.80%,88.90%,1.70%,0.00%,5.70%,0.00%,2.10%,8.50%,82.50%,504,11.60%,X,90.90%,"$223,800 ","$2,101 ",$965 ,"$1,703 ",X,"2,832",2.89,92.50%,19.70%,94.40%,88.50%,92.20%,36.90%,6.80%,8.00%,65.30%,62.90%,"26,181","78,607","1,392",D,"74,318","$8,601 ",21.2,"$78,191 ","$37,138 ",8.70%,X,X,X,X,X,"1,471",884,389,167,"1,250",117,"1,131","2,533.50",3.4,"""3452950"""
Norwood,7648,Bergen,40.994442,-73.95586,,NA,"5,831",NA,"5,732",NA,1.70%,"5,711",2.90%,20.00%,21.00%,55.00%,69.00%,0.50%,0.90%,27.10%,0.00%,0.70%,5.50%,65.00%,181,25.20%,X,81.20%,"$631,000 ","$3,364 ","$1,321 ","$1,732 ",X,"2,133",2.63,93.20%,32.80%,91.00%,88.30%,94.40%,54.20%,3.10%,4.60%,63.00%,53.20%,"9,972","41,229","95,497","704,087",D,NA,35.4,"$127,386 ","$65,114 ",4.00%,X,X,X,X,X,868,476,287,180,675,76,759,"2,093.50",2.73,"""3453610"""
Oakland,7436,Bergen,41.028884,-74.23727,,NA,"13,021",NA,"12,755",NA,2.10%,"12,754",5.20%,24.60%,15.20%,52.10%,90.30%,2.00%,0.00%,6.40%,0.00%,1.40%,6.30%,85.50%,643,13.20%,X,90.30%,"$456,200 ","$2,990 ","$1,205 ","$1,688 ",X,"4,311",2.97,93.50%,16.70%,97.20%,95.10%,96.30%,50.60%,3.20%,5.50%,71.60%,66.20%,"26,605","60,349","865,315","237,719","151,751","$11,788 ",29.8,"$117,996 ","$49,893 ",3.00%,X,X,X,X,X,"1,811","1,144",342,176,"1,583",248,"1,512","1,508.60",8.45,"""3453850"""
Oceanport,7757,Monmouth,40.318115,-74.01239,,NA,"5,751",NA,"5,832",NA,-1.40%,"5,832",7.10%,20.40%,17.70%,49.00%,96.60%,0.40%,0.00%,2.10%,0.00%,0.90%,7.60%,89.00%,204,4.90%,X,85.20%,"$453,200 ","$2,534 ","$1,113 ","$1,392 ",X,"2,118",2.69,92.20%,8.20%,91.70%,88.70%,96.30%,52.50%,3.70%,5.10%,61.30%,54.10%,"4,985","3,662",X,"1,226","7,532","$1,291 ",27.7,"$104,688 ","$44,557 ",7.10%,X,X,X,X,X,693,410,218,129,545,F,663,"1,834.00",3.18,"""3454570"""
Oradell,7649,Bergen,40.953126,-74.03379,,NA,"8,193",NA,"7,978",NA,2.70%,"7,978",4.00%,25.20%,17.90%,49.80%,79.70%,1.60%,0.00%,13.70%,0.00%,4.00%,4.90%,75.90%,260,19.10%,X,88.00%,"$599,700 ","$3,684 ","$1,500+","$1,588 ",X,"2,719",2.93,94.60%,21.50%,98.10%,97.00%,96.60%,60.80%,5.00%,1.00%,65.90%,55.80%,"5,351","96,683",857,"36,673","61,417","$7,598 ",37.5,"$146,103 ","$60,347 ",2.20%,X,X,X,X,X,"1,123",707,284,115,983,52,"1,046","3,291.30",2.42,"""3454990"""
Palisades Park,7650,Bergen,40.845742,-73.99479,,NA,"20,820",NA,"19,604",NA,6.20%,"19,622",4.00%,15.60%,14.00%,48.20%,28.80%,1.10%,0.40%,59.30%,0.10%,1.50%,20.20%,18.10%,332,63.80%,X,34.90%,"$525,600 ","$3,157 ","$1,135 ","$1,476 ",X,"7,525",2.73,88.80%,78.90%,88.70%,86.10%,88.20%,44.30%,2.60%,27.80%,65.10%,55.70%,"51,585","30,385",D,"171,208","189,615","$9,511 ",33.7,"$64,684 ","$32,325 ",12.00%,X,X,X,X,X,"2,631","1,561",868,"1,877",699,74,"2,524","15,685.10",1.25,"""3455770"""
Palmyra,8065,Burlington,40.00278,-75.02626,,NA,"7,161",NA,"7,378",NA,-2.90%,"7,398",4.40%,18.40%,15.50%,51.20%,70.90%,17.50%,0.00%,2.90%,0.10%,1.60%,9.70%,68.20%,425,7.60%,X,70.10%,"$170,800 ","$1,765 ",$821 ,"$1,351 ",X,"2,950",2.45,88.90%,12.30%,91.40%,86.10%,94.00%,28.00%,7.40%,6.70%,70.40%,64.00%,"2,560","16,621","58,864","48,649","172,344","$23,258 ",26.9,"$70,714 ","$34,154 ",10.30%,X,X,X,X,X,429,284,138,51,372,F,389,"3,968.90",1.86,"""3455800"""
Paramus,7652,Bergen,40.947107,-74.07047,,NA,"26,558",NA,"26,342",NA,0.80%,"26,342",3.90%,19.30%,23.40%,51.20%,66.90%,3.00%,0.10%,27.40%,0.00%,1.40%,9.60%,59.20%,"1,180",29.60%,X,86.50%,"$588,800 ","$3,123 ","$1,068 ","$1,987 ",X,"8,310",3.01,92.10%,41.10%,91.40%,89.10%,91.20%,48.30%,4.20%,7.40%,58.60%,51.40%,"221,877","596,918","78,156","2,253,996","3,833,894","$144,501 ",32,"$117,087 ","$45,794 ",2.40%,X,X,X,X,X,"4,448","2,362","1,299","1,071","2,911",295,"3,682","2,516.00",10.47,"""3455950"""
Park Ridge,7656,Bergen,41.034672,-74.04065,,NA,"8,786",NA,"8,649",NA,1.60%,"8,645",4.80%,22.30%,20.50%,48.50%,90.80%,1.10%,0.10%,4.00%,0.00%,2.10%,15.40%,78.40%,431,12.70%,X,79.40%,"$585,600 ","$3,416 ","$1,375 ","$1,420 ",X,"3,299",2.58,91.80%,17.00%,92.80%,89.60%,95.00%,58.30%,5.00%,4.40%,62.80%,55.60%,"28,468","39,842",D,D,"57,347","$6,470 ",32,"$118,560 ","$56,431 ",2.30%,X,X,X,X,X,979,520,242,78,820,66,809,"3,348.20",2.58,"""3456130"""
Passaic,7055,Passaic,40.857384,-74.12899,,NA,"69,948",NA,"69,811",NA,0.20%,"69,781",9.40%,31.90%,9.30%,48.80%,57.80%,8.20%,0.90%,2.90%,0.00%,2.20%,73.70%,16.20%,799,38.50%,X,22.80%,"$325,800 ","$2,592 ","$1,225 ","$1,177 ",X,"19,646",3.55,92.90%,76.00%,74.60%,65.20%,66.10%,15.90%,5.70%,24.50%,58.80%,48.60%,"46,055","269,676","225,981","311,868","541,735","$7,715 ",26.3,"$36,226 ","$17,457 ",31.90%,X,X,X,X,X,"4,682","2,521","1,792","2,903","1,603",195,"4,361","22,180.90",3.15,"""3456550"""
Paterson,7501,Passaic,40.912198,-74.16863,,NA,"145,627",NA,"146,181",NA,-0.40%,"146,199",8.00%,27.00%,10.70%,51.80%,29.30%,26.50%,0.10%,3.80%,0.00%,4.70%,60.90%,9.20%,"1,921",38.50%,X,26.30%,"$237,500 ","$2,348 ","$1,075 ","$1,175 ",X,"44,748",3.21,92.40%,62.80%,77.60%,64.40%,73.40%,10.80%,5.00%,19.40%,58.50%,52.70%,D,"842,277","1,167,948","1,075,168","849,783","$5,852 ",24.1,"$39,282 ","$18,313 ",28.10%,X,X,X,X,X,"10,323","5,328","4,388","7,413","2,657",566,"9,471","17,346.80",8.43,"""3457000"""
Paulsboro,8066,Gloucester,39.833156,-75.23773,,NA,"5,882",NA,"6,094",NA,-3.50%,"6,097",5.40%,16.60%,14.00%,55.60%,69.70%,26.20%,0.00%,0.00%,0.00%,3.20%,9.20%,66.50%,267,6.40%,X,66.10%,"$112,700 ","$1,398 ",$756 ,"$1,039 ",X,"2,552",2.32,93.70%,16.50%,82.40%,73.90%,89.00%,14.00%,17.60%,6.90%,57.80%,51.90%,"2,878","4,471",D,"6,148","92,814","$15,364 ",22.4,"$41,825 ","$25,368 ",22.00%,X,X,X,X,X,275,153,72,67,168,57,200,"3,215.70",1.9,"""3457150"""
Pemberton,8068,Burlington,39.961183,-74.66266,,NA,"27,071",NA,"27,913",NA,-3.00%,"27,912",5.80%,23.30%,13.90%,50.50%,62.70%,21.70%,0.10%,2.50%,0.10%,9.90%,11.90%,56.60%,"3,213",7.80%,X,69.00%,"$166,500 ","$1,586 ",$646 ,"$1,247 ",X,"9,757",2.77,87.10%,12.70%,89.60%,84.80%,90.70%,15.80%,11.20%,5.90%,12.70%,58.60%,"12,101","239,446",D,D,"88,228","$3,157 ",30.4,"$62,345 ","$27,618 ",11.90%,X,X,X,X,X,884,473,273,252,575,87,701,455.5,61.28,"""3400557510"""
Perth Amboy,8861,Middlesex,40.520105,-74.27708,,NA,"51,928",NA,"50,827",NA,2.20%,"50,814",7.50%,27.20%,10.90%,50.20%,79.20%,8.40%,0.10%,1.30%,0.00%,2.10%,80.40%,11.10%,901,41.60%,X,29.30%,"$255,100 ","$2,112 ",$965 ,"$1,304 ",X,"15,946",3.21,92.90%,79.90%,81.80%,53.60%,70.40%,14.50%,8.40%,19.00%,62.40%,57.70%,"41,515","113,179","579,278","1,079,284","324,276","$6,267 ",24.7,"$53,011 ","$21,342 ",18.30%,X,X,X,X,X,"4,087","2,652","1,239","2,987","1,019",127,"3,877","10,806.90",4.7,"""3458200"""
Phillipsburg,8865,Warren,40.689123,-75.17243,,NA,"14,303",NA,"14,950",NA,-4.30%,"14,950",5.00%,23.40%,13.60%,52.00%,77.30%,11.50%,0.20%,1.70%,0.00%,5.60%,14.20%,68.90%,763,10.60%,X,54.50%,"$135,300 ","$1,568 ",$625 ,$958 ,X,"5,795",2.47,87.10%,15.30%,85.80%,75.40%,83.00%,18.20%,12.20%,14.30%,67.20%,61.20%,"15,049","208,416","329,249",D,"251,009","$17,077 ",30.8,"$53,514 ","$26,294 ",17.40%,X,X,X,X,X,837,514,221,211,558,93,676,"4,682.10",3.19,"""3458350"""
Pitman,8071,Gloucester,39.730964,-75.13009,,NA,"8,780",NA,"9,015",NA,-2.60%,"9,011",4.50%,20.70%,16.70%,52.20%,92.60%,2.30%,0.20%,1.20%,0.00%,3.50%,2.60%,90.50%,499,2.10%,X,72.90%,"$181,200 ","$1,879 ",$930 ,"$1,119 ",X,"3,359",2.6,91.20%,4.40%,91.80%,87.10%,95.60%,31.50%,8.10%,6.80%,65.50%,61.30%,"2,981",D,"169,454",D,"26,943","$3,014 ",32.2,"$75,791 ","$33,643 ",9.20%,X,X,X,X,X,673,357,209,68,587,54,601,"3,976.60",2.27,"""3459070"""
Plainfield,7060,Union,40.620102,-74.42481,,NA,"50,693",NA,"49,694",NA,2.00%,"49,808",7.80%,25.10%,11.60%,50.30%,24.00%,42.30%,0.90%,0.90%,0.00%,1.90%,44.50%,8.60%,"1,112",37.70%,X,46.20%,"$239,200 ","$2,391 ","$1,113 ","$1,167 ",X,"15,338",3.22,89.60%,48.80%,82.00%,67.80%,74.10%,17.70%,5.50%,28.70%,69.40%,61.60%,"33,481","130,010",D,D,"210,915","$4,198 ",31.3,"$57,334 ","$25,385 ",19.60%,X,X,X,X,X,"2,949","1,643","1,163","2,082",786,263,"2,594","8,269.60",6.02,"""3459190"""
Pleasantville,8232,Atlantic,39.394616,-74.52212,,NA,"20,376",NA,"20,272",NA,0.50%,"20,249",7.20%,24.80%,11.90%,52.60%,40.50%,42.90%,0.30%,1.80%,0.10%,4.80%,43.50%,11.00%,705,25.00%,X,48.20%,"$146,900 ","$1,706 ",$839 ,"$1,172 ",X,"6,763",2.97,78.60%,44.60%,85.10%,77.20%,76.90%,12.50%,10.40%,15.20%,64.70%,60.40%,"20,824","68,179",D,"173,508","457,193","$22,033 ",20.8,"$40,614 ","$18,887 ",21.30%,X,X,X,X,X,"1,058",543,439,592,402,31,945,"3,556.20",5.69,"""3459640"""
Point Pleasant Beach,8742,Ocean,40.081165,-74.06003,,NA,"18,684",NA,"18,373",NA,1.70%,"18,392",5.10%,20.30%,16.40%,52.20%,98.30%,0.30%,0.20%,0.20%,0.00%,0.70%,6.10%,92.90%,914,4.70%,X,79.60%,"$375,900 ","$2,338 ",$946 ,"$1,452 ",X,"7,416",2.48,89.70%,6.30%,94.90%,90.30%,96.60%,42.10%,5.80%,6.60%,71.70%,66.50%,D,"36,883","5,638","28,886","133,709","$7,247 ",30.8,"$92,278 ","$46,304 ",5.00%,X,X,X,X,X,"2,113","1,351",534,56,"1,936",192,"1,798","5,271.40",3.49,"""3459880"""
Pompton Plains,7444,Morris,40.964548,-74.29813,,NA,"11,014",NA,"11,097",NA,-0.70%,"11,097",5.50%,19.80%,13.20%,49.00%,86.90%,1.60%,0.00%,6.10%,0.00%,2.60%,18.80%,70.50%,433,22.20%,X,72.50%,"$305,000 ","$2,707 ","$1,208 ","$1,512 ",X,"3,952",2.79,94.50%,30.10%,91.30%,88.80%,94.00%,36.50%,5.70%,13.00%,74.70%,71.30%,"14,513",D,"17,069",D,"41,545","$3,730 ",29,"$97,782 ","$40,662 ",5.90%,X,X,X,X,X,"1,235",849,281,213,"1,000",94,"1,119","3,809.50",2.91,"""3460090"""
Princeton,8540,Mercer,40.357439,-74.64922,,NA,"31,386",NA,"28,594",NA,9.80%,"12,307",3.60%,18.40%,16.30%,49.00%,73.10%,5.80%,0.00%,16.40%,0.10%,3.20%,7.70%,67.70%,642,27.00%,X,59.30%,"$833,000 ","$4,000+","$1,500+","$1,563 ",X,"9,979",2.54,75.90%,33.20%,95.70%,88.80%,96.20%,80.60%,3.70%,2.10%,61.80%,56.90%,D,D,D,D,"268,546","$21,764 ",26.9,"$138,194 ","$76,697 ",5.80%,X,X,X,X,X,"1,584",743,594,319,"1,117",69,"1,353","6,677.70",1.84,"""3460900"""
Rahway,7065,Union,40.607103,-74.28099,,NA,"29,880",NA,"27,324",NA,9.40%,"27,346",7.30%,20.30%,12.90%,51.10%,51.20%,29.40%,0.10%,3.00%,0.00%,4.10%,32.40%,33.40%,"1,317",26.00%,X,58.50%,"$266,300 ","$2,344 ","$1,082 ","$1,322 ",X,"11,188",2.61,88.90%,38.70%,89.60%,82.90%,88.40%,28.40%,8.80%,10.90%,69.70%,64.60%,"34,196","166,617","425,288","1,282,742","321,782","$11,581 ",31.9,"$74,164 ","$38,076 ",7.60%,X,X,X,X,X,"2,113","1,441",545,928,"1,132",134,"1,918","7,017.20",3.9,"""3461530"""
Ramsey,7446,Bergen,41.058819,-74.14238,,NA,"14,991",NA,"14,520",NA,3.20%,"14,473",4.60%,24.10%,16.40%,50.60%,90.20%,0.50%,0.00%,8.40%,0.00%,0.80%,5.10%,85.20%,523,13.70%,X,86.90%,"$587,200 ","$3,250 ","$1,500+","$1,570 ",X,"5,522",2.7,94.70%,15.10%,95.50%,94.20%,98.00%,69.70%,2.30%,2.00%,70.00%,63.10%,"62,255",D,D,"551,188","1,188,080","$80,674 ",32.5,"$144,606 ","$68,558 ",2.20%,X,X,X,X,X,"2,151","1,172",602,331,"1,662",192,"1,823","2,621.90",5.52,"""3461680"""
Raritan,8869,Somerset,40.571302,-74.6374,,NA,"7,875",NA,"6,882",NA,14.40%,"6,881",4.50%,19.50%,15.10%,53.20%,74.60%,1.80%,0.00%,15.50%,0.00%,4.20%,18.40%,62.70%,216,28.90%,X,57.00%,"$335,200 ","$2,228 ","$1,007 ","$1,667 ",X,"2,938",2.65,90.00%,34.60%,86.20%,83.70%,91.60%,36.30%,5.40%,8.80%,70.20%,64.00%,"24,069","293,763",D,D,"133,796","$18,475 ",26.6,"$78,404 ","$40,014 ",5.70%,X,X,X,X,X,834,371,316,191,574,80,705,"3,452.60",1.99,"""3461980"""
Red Bank,7701,Monmouth,40.352953,-74.07703,,NA,"12,048",NA,"12,227",NA,-1.50%,"12,206",7.50%,21.10%,13.20%,50.30%,68.30%,9.10%,0.00%,2.40%,0.00%,2.40%,35.50%,54.10%,394,26.00%,X,48.10%,"$401,200 ","$2,498 ","$1,173 ","$1,493 ",X,"5,138",2.33,86.70%,35.60%,92.60%,87.30%,81.60%,40.60%,5.70%,23.10%,75.30%,67.70%,"77,272","417,457",D,"57,947","283,746","$23,283 ",29.6,"$69,620 ","$46,675 ",14.10%,X,X,X,X,X,"2,233","1,186",549,377,"1,689",168,"1,906","7,019.00",1.74,"""3462430"""
Ridgefield,7657,Bergen,40.832421,-74.00399,,NA,"11,265",NA,"11,039",NA,2.00%,"11,032",3.70%,19.20%,13.80%,49.40%,61.80%,1.20%,0.40%,30.00%,0.00%,3.00%,30.00%,36.50%,311,49.10%,X,48.50%,"$436,200 ","$2,727 ","$1,050 ","$1,555 ",X,"3,900",2.88,95.00%,64.90%,92.10%,83.50%,91.20%,38.00%,4.10%,15.70%,65.70%,59.70%,"25,224",D,"828,461","267,508","239,528","$21,282 ",27.8,"$67,500 ","$32,256 ",7.60%,X,X,X,X,X,"1,850","1,143",425,850,879,143,"1,622","4,324.60",2.55,"""3462910"""
Ridgefield Park,7660,Bergen,40.856749,-74.02278,,NA,"13,009",NA,"12,722",NA,2.30%,"12,729",4.00%,20.90%,13.00%,50.70%,74.50%,6.40%,0.20%,11.80%,0.10%,2.20%,43.40%,39.20%,383,35.20%,X,54.40%,"$340,700 ","$2,666 ","$1,155 ","$1,325 ",X,"4,761",2.72,90.50%,49.50%,93.80%,90.90%,92.60%,42.70%,4.60%,8.60%,71.80%,65.80%,"10,721","9,007","127,159",D,"48,223","$3,749 ",32.1,"$80,450 ","$37,751 ",7.90%,X,X,X,X,X,"1,193",755,376,529,604,89,"1,042","7,387.70",1.72,"""3462940"""
Ridgewood,7450,Bergen,40.983997,-74.11438,,NA,"25,272",NA,"24,956",NA,1.30%,"24,958",5.20%,30.50%,13.90%,52.40%,79.50%,1.90%,0.20%,14.70%,0.00%,3.30%,7.80%,73.00%,609,22.30%,X,77.60%,"$738,700 ","$4,000+","$1,500+","$1,996 ",X,"8,337",3,90.60%,24.10%,96.20%,94.20%,96.50%,75.40%,1.90%,2.80%,64.40%,53.80%,"39,372","933,609","8,006","78,184","224,703","$8,915 ",39.5,"$168,608 ","$77,446 ",4.20%,X,X,X,X,X,"3,303","1,789","1,100",627,"2,595",237,"2,885","4,339.00",5.75,"""3463000"""
Ringwood,7456,Passaic,41.096095,-74.26012,,NA,"12,226",NA,"12,261",NA,-0.30%,"12,228",6.30%,24.10%,16.70%,50.50%,88.50%,2.20%,1.30%,4.70%,0.00%,1.50%,8.10%,83.90%,373,9.80%,X,95.40%,"$346,600 ","$2,733 ","$1,210 ","$1,801 ",X,"3,990",3.04,93.50%,14.60%,97.40%,94.80%,93.30%,46.10%,6.00%,2.10%,70.50%,62.50%,"9,271","23,646","20,694","116,118","36,375","$2,949 ",35.9,"$128,093 ","$47,156 ",1.60%,X,X,X,X,X,"1,223",666,389,81,"1,122",105,"1,051",485,25.21,"""3463150"""
River Edge,7661,Bergen,40.927579,-74.03739,,NA,"11,531",NA,"11,340",NA,1.70%,"11,340",6.00%,24.70%,13.30%,51.30%,69.90%,2.10%,0.30%,21.90%,0.00%,2.00%,11.80%,61.10%,509,26.10%,X,74.70%,"$492,100 ","$3,351 ","$1,260 ","$1,588 ",X,"3,942",2.92,92.30%,33.70%,95.30%,91.90%,93.70%,59.90%,2.60%,5.80%,69.10%,65.10%,"12,429","108,930",X,"42,420","65,790","$5,739 ",37.6,"$123,409 ","$50,597 ",4.80%,X,X,X,X,X,"1,532",817,499,538,936,30,"1,440","6,116.50",1.85,"""3463360"""
Rockaway,7866,Morris,40.926798,-74.50624,,NA,"6,363",NA,"6,430",NA,-1.00%,"6,438",3.50%,22.00%,19.00%,49.70%,85.40%,4.10%,0.00%,6.60%,0.00%,1.60%,20.00%,68.10%,339,23.20%,X,69.80%,"$341,800 ","$2,408 ","$1,059 ","$1,348 ",X,"2,443",2.62,91.90%,27.70%,91.80%,86.00%,92.50%,35.30%,3.50%,6.70%,64.60%,65.40%,"16,244","7,702","67,519","99,711","445,938","$68,754 ",27.6,"$87,083 ","$39,811 ",4.70%,X,X,X,X,X,943,487,286,184,679,29,836,"3,107.10",2.07,"""3464050"""
Roseland,7068,Essex,40.821799,-74.30477,,NA,"5,851",NA,"5,836",NA,0.30%,"5,819",5.00%,19.90%,25.70%,52.30%,87.20%,0.00%,0.00%,8.90%,0.00%,2.20%,6.70%,84.10%,330,12.80%,X,80.80%,"$500,800 ","$3,243 ","$1,368 ","$2,319 ",X,"2,341",2.5,92.70%,16.00%,89.00%,84.80%,96.60%,64.80%,3.40%,1.80%,62.60%,59.20%,"15,908",D,"83,336","357,180","24,088","$4,094 ",29.9,"$126,250 ","$68,977 ",3.00%,X,X,X,X,X,803,439,189,51,675,31,697,"1,644.20",3.54,"""3464590"""
Roselle,7203,Union,40.653502,-74.26058,,NA,"21,902",NA,"21,067",NA,4.00%,"21,085",5.20%,21.60%,15.20%,52.50%,22.30%,53.10%,0.00%,1.70%,0.00%,2.60%,29.20%,12.70%,809,29.80%,X,55.60%,"$214,300 ","$2,314 ","$1,121 ","$1,136 ",X,"7,528",2.86,94.30%,42.40%,83.60%,73.60%,87.10%,20.40%,6.60%,11.00%,67.50%,65.00%,"20,409","22,722",D,D,"102,002","$4,789 ",31,"$61,804 ","$27,934 ",10.00%,X,X,X,X,X,"1,404",920,409,973,364,126,"1,223","7,953.60",2.65,"""3464620"""
Roselle Park,7204,Union,40.665552,-74.26768,,NA,"13,650",NA,"13,290",NA,2.70%,"13,297",5.80%,22.30%,11.60%,50.70%,62.50%,7.60%,0.30%,8.50%,0.00%,2.80%,28.10%,48.60%,391,27.20%,X,58.40%,"$281,000 ","$2,569 ","$1,107 ","$1,227 ",X,"5,087",2.67,92.70%,44.20%,89.80%,85.80%,89.70%,37.40%,6.10%,8.50%,71.10%,65.30%,"14,812",D,D,D,"35,886","$2,656 ",30.2,"$71,846 ","$35,475 ",6.40%,X,X,X,X,X,855,607,208,349,496,39,806,"10,793.00",1.23,"""3464650"""
