City,Zip Code,County,Latitude,Longitude,,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
,,,,,,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
Mount Arlington,7856,Morris,40.919498,-74.63559,,5050,5038,5040,5064,5128,5143,5210,5232,5411,5806,5877
Mountainside,7092,Union,40.680301,-74.35601,,6685,6660,6672,6716,6737,6786,6781,6793,6832,6854,6892
Neptune,7753,Monmouth,40.208945,-74.05261,,4869,4812,4809,4795,4780,4769,4742,4716,4721,4679,4645
New Brunswick,8901,Middlesex,40.488304,-74.44775,,55181,54500,54887,55294,55412,55907,55899,56033,56215,56145,56100
New Milford,7646,Bergen,40.936211,-74.0188,,16341,16343,16362,16449,16497,16534,16540,16597,16579,16607,16558
New Providence,7974,Union,40.698268,-74.40225,,12171,12199,12217,12247,12282,12313,12341,12374,12716,13114,13486
Newark,7101,Essex,40.736101,-74.22509,,277140,277107,277158,277540,277590,278152,278991,279629,280628,281014,282090
Newton,7860,Sussex,41.0714,-74.80199,,7997,8121,8115,8064,8087,8007,7934,7933,7875,7812,7938
North Arlington,7031,Bergen,40.791895,-74.13254,,15392,15392,15412,15534,15598,15641,15664,15706,15693,15756,15741
Northfield,8225,Atlantic,39.370083,-74.55211,,8624,8621,8612,8607,8586,8552,8486,8403,8312,8246,8212
Norwood,7648,Bergen,40.994442,-73.95586,,5711,5732,5738,5765,5787,5795,5802,5820,5810,5820,5831
Oakland,7436,Bergen,41.028884,-74.23727,,12754,12755,12773,12838,12884,12930,12963,13004,12988,13018,13021
Oceanport,7757,Monmouth,40.318115,-74.01239,,5832,5832,5848,5844,5818,5782,5738,5706,5705,5719,5751
Oradell,7649,Bergen,40.953126,-74.03379,,7978,7978,7987,8034,8054,8085,8091,8117,8129,8184,8193
Palisades Park,7650,Bergen,40.845742,-73.99479,,19622,19604,19627,19799,20059,20319,20357,20466,20518,20650,20820
Palmyra,8065,Burlington,40.00278,-75.02626,,7398,7378,7381,7371,7359,7313,7295,7251,7201,7176,7161
Paramus,7652,Bergen,40.947107,-74.07047,,26342,26342,26363,26485,26550,26595,26602,26661,26607,26625,26558
Park Ridge,7656,Bergen,41.034672,-74.04065,,8645,8649,8656,8706,8738,8762,8792,8812,8801,8802,8786
Passaic,7055,Passaic,40.857384,-74.12899,,69781,69811,69864,70145,69977,70098,70267,70228,70086,70020,69948
Paterson,7501,Passaic,40.912198,-74.16863,,146199,146181,146397,145595,146136,146089,145970,145911,145682,145804,145627
Paulsboro,8066,Gloucester,39.833156,-75.23773,,6097,6094,6091,6063,6034,6007,5993,5967,5928,5895,5882
Pemberton,8068,Burlington,39.961183,-74.66266,,1409,1404,1405,1398,1390,1382,1378,1370,1358,1335,1330
Perth Amboy,8861,Middlesex,40.520105,-74.27708,,50814,50827,50919,51137,51563,51737,51853,51734,51802,51871,51928
Phillipsburg,8865,Warren,40.689123,-75.17243,,14950,14950,14914,14792,14682,14565,14559,14505,14384,14333,14303
Pitman,8071,Gloucester,39.730964,-75.13009,,9011,9015,9014,8985,8944,8914,8896,8873,8826,8805,8780
Plainfield,7060,Union,40.620102,-74.42481,,49808,49694,49769,49914,50077,50333,50430,50596,50416,50527,50693
Pleasantville,8232,Atlantic,39.394616,-74.52212,,20249,20272,20284,20266,20504,20438,20309,20493,20280,20474,20376
Point Pleasant Beach,8742,Ocean,40.081165,-74.06003,,18392,18373,18389,18375,18334,18378,18439,18455,18499,18573,18684
Pompton Plains,7444,Morris,40.964548,-74.29813,,11097,11097,11106,11153,11130,11105,11089,11061,11036,11015,11014
Princeton,8540,Mercer,40.357439,-74.64922,,12307,28594,28602,28096,29402,29728,29676,30141,31031,31407,31386
Rahway,7065,Union,40.607103,-74.28099,,27346,27324,27364,27897,28118,28262,28833,29192,29310,29648,29880
Ramsey,7446,Bergen,41.058819,-74.14238,,14473,14520,14553,14667,14757,14853,14896,14963,14952,15003,14991
Raritan,8869,Somerset,40.571302,-74.6374,,6881,6882,6893,6907,6907,7219,7435,7921,7903,7884,7875
Red Bank,7701,Monmouth,40.352953,-74.07703,,12206,12227,12304,12274,12241,12245,12191,12144,12119,12074,12048
Ridgefield,7657,Bergen,40.832421,-74.00399,,11032,11039,11052,11122,11166,11199,11210,11239,11243,11265,11265
Ridgefield Park,7660,Bergen,40.856749,-74.02278,,12729,12722,12737,12814,12852,12887,12901,12932,12915,12946,13009
Ridgewood,7450,Bergen,40.983997,-74.11438,,24958,24956,24982,25102,25156,25210,25221,25302,25259,25293,25272
Ringwood,7456,Passaic,41.096095,-74.26012,,12228,12261,12268,12329,12329,12331,12325,12326,12293,12235,12226
River Edge,7661,Bergen,40.927579,-74.03739,,11340,11340,11353,11420,11451,11482,11494,11523,11519,11539,11531
Rockaway,7866,Morris,40.926798,-74.50624,,6438,6430,6435,6453,6456,6453,6425,6418,6426,6408,6363
Roseland,7068,Essex,40.821799,-74.30477,,5819,5836,5838,5870,5858,5823,5830,5844,5849,5844,5851
Roselle,7203,Union,40.653502,-74.26058,,21085,21067,21101,21177,21248,21355,21395,21435,21513,21614,21902
Roselle Park,7204,Union,40.665552,-74.26768,,13297,13290,13312,13364,13408,13481,13506,13526,13576,13603,13650
Rumson,7760,Monmouth,40.369145,-73.99576,,7122,7065,7072,7031,6959,6905,6830,6825,6799,6820,6776
Runnemede,8078,Camden,39.850013,-75.0767,,8468,8465,8463,8444,8423,8374,8342,8325,8328,8313,8318
Sayreville,8871,Middlesex,40.430006,-74.417344,,42704,42753,42750,43052,43278,43598,43953,44145,44335,44531,44556
Secaucus,7094,Hudson,40.7885,-74.06,,16264,16260,16689,16914,17998,18089,18157,18827,19563,19685,20742
Somerdale,8083,Camden,39.842613,-75.02496,,5151,5132,5131,5133,5197,5250,5324,5407,5458,5446,5473
Somers Point,8244,Atlantic,39.319901,-74.5999,,10795,10795,10790,10785,10771,10734,10654,10540,10422,10338,10285
Somerville,8876,Somerset,40.545853,-74.63592,,12098,12098,12112,12143,12143,12125,12091,12038,12009,12223,12202
South Amboy,8879,Middlesex,40.469606,-74.27669,,8631,8596,8594,8614,8657,8649,8660,8646,8630,8665,8921
South Plainfield,7080,Middlesex,40.580703,-74.41401,,23385,23392,23383,23440,23559,23579,23643,23854,23883,23977,24131
South River,8882,Middlesex,40.445006,-74.38179,,16008,16054,16055,16096,16135,16129,16155,16143,16072,16046,16023
Spotswood,8884,Middlesex,40.39159,-74.39329,,8257,8256,8253,8282,8304,8314,8324,8322,8307,8303,8307
Stratford,8084,Camden,39.829014,-75.01371,,7040,7051,7043,7027,7033,6995,6979,6980,6972,6960,6967
Summit,7901,Union,40.714501,-74.3633,,21457,21460,21494,21574,21648,21797,21821,21858,21921,21974,22016
Tenafly,7670,Bergen,40.92169,-73.96482,,14488,14510,14536,14635,14701,14726,14734,14718,14693,14675,14641
Totowa,7511,Passaic,41.011428,-74.304793,,10804,10807,10816,10868,10853,10854,10854,10845,10826,10810,10804
Trenton,8601,Mercer,40.280531,-74.712018,,84913,84964,85010,84853,84642,84524,84067,83566,83387,83593,83974
