City,Municipality,Muni Code,"Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","Foreign born persons, percent, 2014-2018","Owner-occupied housing unit rate, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Persons per household, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Persons in poverty, percent","All firms, 2012","Population per square mile, 2010"
Secaucus,Secaucus,909.0,16.50%,51.30%,62.20%,3.60%,35.40%,55.80%,"$2,704 ",$994 ,"$1,597 ",2.56,47.90%,90.90%,89.30%,46.20%,5.50%,60.40%,31.5,"$101,184 ",6.70%,"2,046","2,793.50"
Union City,Union City,910.0,10.80%,50.90%,74.20%,4.70%,58.20%,19.70%,"$2,661 ","$1,208 ","$1,202 ",2.81,84.40%,86.60%,70.20%,20.50%,5.20%,59.70%,33.6,"$45,636 ",21.30%,"6,335","51,796.60"
West New York,West New York,912.0,12.40%,50.10%,60.30%,3.40%,61.10%,21.30%,"$2,384 ","$1,254 ","$1,287 ",2.67,83.00%,86.30%,74.50%,29.10%,5.70%,61.20%,37.2,"$54,512 ",20.20%,"4,252","49,362.50"
Clinton,Clinton,1005.0,12.00%,41.30%,77.10%,12.80%,8.40%,87.70%,"$2,642 ","$1,246 ","$1,811 ",2.66,11.00%,95.00%,94.80%,57.90%,4.80%,67.40%,33.1,"$140,125 ",3.10%,"1,302",451.1
Lebanon,Lebanon Borough,1018.0,17.40%,50.20%,94.90%,0.60%,3.50%,92.40%,"$2,327 ",$885 ,"$1,232 ",2.53,5.30%,95.30%,96.80%,53.70%,5.90%,69.40%,34.5,"$112,359 ",2.40%,528,209.4
Hightstown,Hightstown Borough,1104.0,17.00%,53.40%,77.50%,10.30%,28.70%,61.30%,"$2,283 ","$1,018 ","$1,401 ",2.72,35.40%,89.60%,82.40%,42.20%,4.10%,58.50%,25.4,"$78,079 ",14.10%,659,"4,536.70"
Hopewell,Hopewell Borough,1105.0,16.60%,50.30%,83.40%,4.80%,10.40%,90.80%,"$3,186 ","$1,301 ","$1,623 ",2.69,13.90%,96.20%,95.00%,66.60%,4.20%,61.90%,29.5,"$132,813 ",2.40%,"1,475",298.2
Princeton,Princeton,1114.0,16.30%,49.00%,73.10%,5.80%,27.00%,59.30%,"$4,000+","$1,500+","$1,563 ",2.54,33.20%,95.70%,96.20%,80.60%,3.70%,56.90%,26.9,"$138,194 ",5.80%,"1,584","6,677.70"
Trenton,Trenton,1111.0,9.80%,49.80%,41.10%,50.70%,23.30%,36.60%,"$1,487 ",$638 ,"$1,029 ",2.92,37.00%,79.10%,71.80%,11.70%,11.50%,55.40%,24.1,"$35,387 ",28.40%,"4,006","11,102.60"
Carteret,Carteret Borough,1201.0,11.90%,52.80%,53.10%,16.60%,32.00%,57.30%,"$2,188 ",$895 ,"$1,510 ",2.98,51.70%,84.80%,86.50%,24.50%,7.20%,57.20%,31.0,"$74,676 ",14.50%,"2,053","5,170.70"
Dunellen,Dunellen Borough,1203.0,10.50%,49.80%,64.60%,11.50%,22.60%,68.90%,"$2,604 ","$1,105 ","$1,267 ",2.86,34.80%,94.20%,91.40%,30.90%,5.70%,66.10%,32.7,"$69,868 ",10.20%,692,"6,896.00"
Highland Park,Highland Park Borough,1207.0,11.90%,52.40%,67.40%,10.10%,27.70%,42.40%,"$2,706 ","$1,263 ","$1,427 ",2.49,37.40%,94.50%,96.40%,69.20%,5.50%,67.20%,30.0,"$80,846 ",10.50%,"1,320","7,729.10"
Metuchen,Metuchen Borough,1209.0,16.00%,50.70%,72.40%,5.40%,20.20%,77.70%,"$2,700 ","$1,250 ","$1,644 ",2.66,26.70%,92.10%,96.20%,62.50%,4.30%,66.00%,37.2,"$124,317 ",1.60%,"1,664","4,911.00"
Middlesex,Middlesex Borough,1210.0,15.70%,50.00%,68.40%,7.30%,21.40%,71.40%,"$2,241 ","$1,051 ","$1,364 ",2.76,30.20%,92.10%,91.10%,26.80%,7.30%,65.00%,27.4,"$71,061 ",5.40%,"1,286","3,875.80"
Milltown,Milltown Borough,1211.0,14.60%,52.00%,92.30%,1.60%,13.70%,84.80%,"$2,554 ","$1,235 ","$1,485 ",2.85,16.60%,92.30%,95.40%,35.40%,5.50%,63.40%,30.1,"$102,738 ",6.30%,614,"4,444.20"
New Brunswick,New Brunswick,1213.0,5.70%,52.00%,64.20%,14.60%,34.00%,17.20%,"$1,956 ",$957 ,"$1,445 ",3.18,55.00%,85.70%,63.00%,21.70%,4.30%,44.10%,26.9,"$42,185 ",34.20%,"2,126","10,556.90"
Perth Amboy,Perth Amboy,1216.0,10.90%,50.20%,79.20%,8.40%,41.60%,29.30%,"$2,112 ",$965 ,"$1,304 ",3.21,79.90%,81.80%,70.40%,14.50%,8.40%,57.70%,24.7,"$53,011 ",18.30%,"4,087","10,806.90"
Sayreville,Sayreville Borough,1219.0,13.90%,51.20%,66.90%,12.10%,27.30%,63.50%,"$2,182 ",$907 ,"$1,240 ",2.68,35.00%,92.50%,90.00%,31.90%,6.70%,61.90%,34.2,"$78,155 ",6.90%,"3,626","2,695.60"
South Amboy,South Amboy,1220.0,15.70%,46.40%,82.70%,7.80%,13.60%,60.40%,"$2,400 ",$877 ,"$1,236 ",2.56,21.50%,85.40%,91.00%,26.50%,6.10%,65.00%,29.2,"$67,519 ",7.50%,597,"5,575.60"
South Plainfield,South Plainfield Borough,1222.0,16.30%,50.20%,61.80%,12.60%,24.00%,83.00%,"$2,338 ",$897 ,"$1,812 ",3.01,33.40%,92.80%,90.90%,35.10%,5.40%,63.10%,30.4,"$100,782 ",3.20%,"2,204","2,808.30"
South River,South River Borough,1223.0,13.80%,50.40%,79.90%,9.10%,30.00%,63.00%,"$2,323 ",$833 ,"$1,245 ",2.88,43.80%,86.20%,82.60%,24.40%,4.60%,66.10%,31.8,"$69,068 ",11.20%,"1,251","5,781.10"
Spotswood,Spotswood Borough,1224.0,19.60%,51.90%,88.20%,4.00%,11.90%,78.20%,"$2,266 ",$967 ,$927 ,2.48,13.80%,88.60%,92.80%,25.30%,5.60%,58.50%,33.5,"$76,055 ",6.70%,533,"3,642.30"
Asbury Park,Asbury Park,1304.0,11.60%,51.80%,38.60%,44.20%,19.30%,21.00%,"$2,284 ","$1,064 ","$1,231 ",2.29,28.10%,84.10%,84.50%,26.70%,13.50%,61.00%,28.1,"$41,336 ",28.60%,"1,068","11,317.40"
Belmar,Belmar Borough,1307.0,17.70%,44.00%,91.30%,3.60%,11.90%,48.90%,"$2,625 ","$1,123 ","$1,463 ",2.2,17.50%,90.50%,92.60%,50.20%,5.60%,65.80%,31.6,"$79,706 ",11.80%,698,"5,544.50"
Eatontown,Eatontown Borough,1312.0,16.20%,51.00%,73.40%,12.50%,20.00%,52.70%,"$2,184 ",$939 ,"$1,184 ",2.23,23.40%,91.10%,92.40%,34.40%,9.50%,65.10%,24.1,"$66,040 ",9.50%,"1,570","2,181.40"
Fair Haven,Fair Haven Borough,1314.0,11.50%,51.70%,95.30%,3.00%,3.50%,90.20%,"$3,539 ","$1,500+","$2,625 ",3.19,5.60%,98.10%,98.20%,72.10%,3.20%,57.30%,44.5,"$170,625 ",3.70%,543,"3,832.80"
Freehold,Freehold Borough,1316.0,12.10%,48.90%,67.70%,11.50%,30.80%,47.60%,"$2,147 ",$892 ,"$1,417 ",2.87,47.40%,85.20%,71.50%,20.70%,5.30%,63.80%,24.8,"$56,466 ",16.10%,843,"6,180.50"
Keansburg,Keansburg Borough,1323.0,13.50%,53.00%,81.10%,8.40%,9.60%,52.80%,"$1,748 ",$953 ,"$1,212 ",2.39,17.00%,84.00%,81.40%,18.00%,13.50%,64.00%,36.3,"$46,725 ",25.00%,351,"9,452.80"
Keyport,Keyport Borough,1324.0,17.10%,50.00%,76.40%,6.50%,13.90%,49.80%,"$2,054 ",$935 ,"$1,081 ",2.32,21.90%,83.60%,87.20%,21.30%,10.40%,54.10%,28.5,"$56,000 ",12.80%,565,"5,190.00"
Little Silver,Little Silver Borough,1325.0,19.60%,53.20%,98.50%,0.30%,8.00%,92.50%,"$3,329 ","$1,370 ","$2,308 ",2.79,7.30%,99.40%,99.30%,69.10%,2.60%,49.70%,39.9,"$162,232 ",1.40%,957,"2,197.20"
