City,Zip Code,County,Latitude,Longitude,Municipality,Muni Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,
East Brunswick,08816,Middlesex,40.434239,-74.40504,East Brunswick Township,1204,4.64,4.76,4.89,5.07,5.38,5.82,6.22,6.51,6.96,7.35,7.91,8.29,8.57,8.635,9.097,9.29,9.6,9.961,10.179,10.431,10.651,10.829,11.02,,2.1%
Edison,08817,Middlesex,40.516104,-74.39754,Edison Township,1205,2.25,2.41,2.49,2.64,2.77,2.94,3.11,3.25,3.35,3.59,3.72,3.945,4.128,4.239,4.478,4.529,4.576,4.726,4.864,5.056,5.156,5.272,5.408,,2.9%
Fords,08863,Middlesex,40.535304,-74.31104,Woodbridge Township,1225,4.67,4.76,4.97,5.16,5.27,5.58,5.85,6.09,6.39,6.73,7.09,7.328,7.935,8.357,8.787,9.114,9.39,9.53,9.751,9.929,10.008,10.192,10.404,,1.8%
Helmetta,08828,Middlesex,40.37594,-74.41955,Helmetta Borough,1206,3.86,4.03,4.4,4.41,5.01,6.37,6.57,5.97,6.24,7.05,1.91,1.965,2.003,2.033,2.091,2.713,2.762,2.713,2.745,2.874,2.994,3.049,3.089,,2.8%
Highland Park,08904,Middlesex,40.500254,-74.4257,Highland Park Borough,1207,3.96,4.05,4.15,4.34,4.51,4.74,4.95,5.16,5.39,5.72,6.05,6.301,6.487,6.642,6.854,6.988,7.166,7.478,7.602,7.898,7.855,8.175,8.415,,2.5%
Iselin,08830,Middlesex,40.571504,-74.3183,Woodbridge Township,1225,4.67,4.76,4.97,5.16,5.27,5.58,5.85,6.09,6.39,6.73,7.09,7.328,7.935,8.357,8.787,9.114,9.39,9.53,9.751,9.929,10.008,10.192,10.404,,1.8%
Keasbey,08832,Middlesex,40.517855,-74.30325,Woodbridge Township,1225,4.67,4.76,4.97,5.16,5.27,5.58,5.85,6.09,6.39,6.73,7.09,7.328,7.935,8.357,8.787,9.114,9.39,9.53,9.751,9.929,10.008,10.192,10.404,,1.8%
Kendall Park,08824,Middlesex,40.423055,-74.55352,South Brunswick Township,1221,2.42,2.53,2.51,2.49,2.61,2.76,2.96,3.14,3.36,3.57,3.82,3.884,3.941,4.082,4.382,4.491,4.528,4.634,4.709,4.857,4.909,4.917,5.085,,1.9%
Metuchen,08840,Middlesex,40.543354,-74.3587,Metuchen Borough,1209,2.72,2.71,2.79,2.9,3.03,3.26,3.4,3.56,3.82,4.13,4.38,4.594,4.772,4.946,5.143,5.245,5.389,5.501,5.642,5.77,5.921,5.94,5.962,,1.7%
Middlesex,08846,Middlesex,40.574552,-74.50187,Middlesex Borough,1210,4.32,4.54,4.53,4.59,4.76,5.16,5.4,5.53,5.85,6.33,6.7,7.022,7.25,7.29,7.559,7.7,7.804,8.026,8.182,8.359,8.644,8.889,9.167,,2.8%
Milltown,08850,Middlesex,40.451105,-74.43938,Milltown Borough,1211,2.36,2.49,2.69,2.92,3.07,3.17,3.26,3.39,3.54,3.77,3.89,4.047,4.264,4.476,4.596,4.702,4.871,5.016,5.199,5.31,5.506,5.703,6.062,,4.2%
Monmouth Junction,08852,Middlesex,40.389428,-74.54329,South Brunswick Township,1221,2.42,2.53,2.51,2.49,2.61,2.76,2.96,3.14,3.36,3.57,3.82,3.884,3.941,4.082,4.382,4.491,4.528,4.634,4.709,4.857,4.909,4.917,5.085,,1.9%
Monroe Township,08831,Middlesex,40.336508,-74.43302,Monroe Township,1212,2.17,2.21,2.23,2.34,2.44,2.58,2.73,2.9,2.92,2.99,3.13,3.294,3.368,3.51,3.696,4.091,4.125,2.22,2.305,2.365,2.399,2.436,2.456,,2.1%
New Brunswick,08901,Middlesex,40.488304,-74.44775,New Brunswick,1213,3.27,3.21,3.33,3.54,3.61,3.63,3.75,3.97,4.05,4.2,4.57,4.884,5.027,5.162,5.333,5.474,5.579,5.624,5.726,5.866,2.274,2.368,2.423,,-11.4%
North Brunswick,08902,Middlesex,40.453131,-74.48287,North Brunswick Township,1214,4.89,4.86,2.63,2.79,2.95,3.16,3.33,3.54,3.74,4.07,4.24,4.351,4.443,4.619,4.821,5.011,5.103,5.19,5.249,5.34,5.454,5.552,5.668,,1.8%
Old Bridge,08857,Middlesex,40.397507,-74.3298,Old Bridge Township,1215,2.95,2.95,2.92,2.79,2.94,3.22,3.43,3.59,3.67,3.82,3.99,4.041,4.111,4.196,4.317,4.37,4.421,4.519,4.567,4.648,4.743,4.898,4.952,,1.9%
Parlin,08859,Middlesex,40.461851,-74.30343,Sayreville Borough,1219,2.42,2.47,2.52,2.64,2.78,3.02,3.18,3.29,3.38,3.6,3.81,3.992,4.196,4.249,4.4,4.496,4.591,4.647,4.775,4.886,5.019,5.139,5.233,,2.5%
Perth Amboy,08861,Middlesex,40.520105,-74.27708,Perth Amboy,1216,2.94,2.96,2.98,2.99,3.01,3.05,3.07,3.14,3.36,1.62,2.08,2.177,2.373,2.46,2.655,2.68,2.837,2.918,2.9,2.88,2.958,2.963,2.989,,0.5%
Piscataway,08854,Middlesex,40.555355,-74.46094,Piscataway Township,1217,3.44,3.6,3.66,3.74,3.92,4.08,4.34,4.61,4.83,5.02,5.54,5.648,5.904,5.982,6.312,6.312,6.634,2.518,2.577,2.616,2.664,2.304,2.308,,-1.7%
Plainsboro,08536,Middlesex,40.33371,-74.58512,Plainsboro Township,1218,2.4,2.57,2.6,2.71,2.69,2.7,2.81,3.14,1.94,2,2.06,1.979,2.098,2.215,2.337,2.39,2.433,2.449,2.475,2.084,2.181,2.246,2.298,,-1.2%
Port Reading,07064,Middlesex,40.569504,-74.24774,Woodbridge Township,1225,4.67,4.76,4.97,5.16,5.27,5.58,5.85,6.09,6.39,6.73,7.09,7.328,7.935,8.357,8.787,9.114,9.39,9.53,9.751,9.929,10.008,10.192,10.404,,1.8%
Sayreville,08871,Middlesex,40.430006,-74.417344,Sayreville Borough,1219,2.42,2.47,2.52,2.64,2.78,3.02,3.18,3.29,3.38,3.6,3.81,3.992,4.196,4.249,4.4,4.496,4.591,4.647,4.775,4.886,5.019,5.139,5.233,,2.5%
Sewaren,07077,Middlesex,40.553971,-74.25938,Woodbridge Township,1225,4.67,4.76,4.97,5.16,5.27,5.58,5.85,6.09,6.39,6.73,7.09,7.328,7.935,8.357,8.787,9.114,9.39,9.53,9.751,9.929,10.008,10.192,10.404,,1.8%
South Amboy,08879,Middlesex,40.469606,-74.27669,South Amboy,1220,5.06,5.1,5.19,5.17,5.19,5.19,5.34,6.4,1.57,1.66,1.72,1.81,2.057,2.167,2.247,2.336,2.495,2.565,2.656,2.637,2.705,2.749,2.772,,1.6%
South Plainfield,07080,Middlesex,40.580703,-74.41401,South Plainfield Borough,1222,3.27,3.38,3.34,3.4,3.47,3.58,3.69,3.78,4.05,4.31,4.39,4.688,5.018,4.887,5.114,5.244,5.387,5.533,5.697,5.797,5.856,5.932,6.089,,2.0%
South River,08882,Middlesex,40.445006,-74.38179,South River Borough,1223,4.48,4.28,4.2,4.26,4.2,4.31,4.45,4.66,5.17,5.53,5.85,6.237,6.249,6.401,6.666,6.716,6.91,7.118,7.285,7.452,7.744,8.039,8.237,,3.1%
Spotswood,08884,Middlesex,40.39159,-74.39329,Spotswood Borough,1224,5.51,5.62,5.82,5.95,6.16,6.44,6.81,7.06,2.13,2.29,2.46,2.59,2.658,2.713,2.834,2.844,2.866,2.932,2.958,3.099,3.184,3.241,3.321,,2.7%
Woodbridge,07095,Middlesex,40.557104,-74.28316,Woodbridge Township,1225,4.67,4.76,4.97,5.16,5.27,5.58,5.85,6.09,6.39,6.73,7.09,7.328,7.935,8.357,8.787,9.114,9.39,9.53,9.751,9.929,10.008,10.192,10.404,,1.8%
Adelphia,07710,Monmouth,40.302718,-74.24928,Howell Township,1321,2.275,2.355,2.451,2.627,2.858,3.174,3.388,3.627,3.778,4.062,1.883,1.922,1.961,2.037,2.07,2.585,2.585,2.559,2.374,2.35,2.32,2.295,2.284,,-2.1%
Allenhurst,07711,Monmouth,40.236916,-74.0069,Allenhurst Borough,1302,1.752,1.563,1.664,1.736,1.848,1.203,1.208,1.289,1.329,1.477,0.579,0.58,0.593,0.65,0.702,0.685,0.667,0.85,0.922,0.832,0.778,0.796,0.795,,-1.3%
Allentown,08501,Monmouth,40.164556,-74.57785,Allentown Borough,1303,3.809,3.99,2.896,3.086,3.212,3.416,3.594,3.558,3.843,4.148,4.232,4.441,4.54,4.726,2.55,2.651,2.738,2.807,2.831,3.042,3.048,3.046,3.029,,1.6%
Allenwood,08720,Monmouth,40.14386,-74.10286,Wall Township,1352,2.279,2.317,2.311,2.421,2.579,1.902,2.044,2.108,2.147,2.194,2.284,2.413,2.462,2.603,2.673,2.752,2.793,2.825,2.888,1.813,1.847,1.884,1.9,,-6.5%
Asbury Park,07712,Monmouth,40.232713,-74.03143,Asbury Park,1304,3.953,3.933,4.058,4.081,4.084,3.853,3.943,4.069,4.146,4.323,4.623,4.812,4.931,5.221,5.546,5.609,5.922,2.167,2.214,2.144,2.08,1.782,1.65,,-4.8%
Atlantic Highlands,07716,Monmouth,40.407958,-74.03483,Atlantic Highlands Borough,1305,2.887,2.981,3.117,3.402,3.46,3.506,3.777,2.022,2.128,2.157,2.15,2.213,2.26,2.32,2.378,2.383,2.442,2.521,2.553,2.621,2.658,1.961,1.981,,-4.3%
Avon By The Sea,07717,Monmouth,40.191809,-74.01688,Avon-by-the-Sea Borough,1306,2.241,2.411,2.379,1.731,1.859,2.05,2.14,2.211,2.348,2.526,2.66,0.919,0.946,0.956,1.007,1.021,1.033,1.069,1.109,1.142,1.137,1.148,1.165,,1.8%
Belford,07718,Monmouth,40.415902,-74.08689,Middletown Township,1332,2.592,2.638,2.68,2.862,2.918,3.083,3.205,3.324,3.429,3.558,3.659,3.787,1.725,1.795,2.087,2.108,2.14,2.189,2.136,2.131,2.124,2.167,2.112,,-0.7%
Belmar,07715,Monmouth,40.302718,-74.24928,Belmar Borough,1307,2.756,2.792,2.817,2.882,3.07,3.256,1.361,1.46,1.589,1.666,1.724,1.791,1.845,1.886,1.9,1.909,1.929,1.935,1.919,1.911,1.205,1.235,1.345,,-6.1%
Bradley Beach,07720,Monmouth,40.202113,-74.01353,Bradley Beach Borough,1308,3.27,3.124,3.224,3.255,3.338,2.128,2.351,2.33,2.483,1.092,1.139,1.183,1.195,1.249,1.269,1.318,1.369,1.384,1.396,1.398,1.414,1.384,1.266,,-1.7%
Brielle,08730,Monmouth,40.108433,-74.06226,Brielle Borough,1309,1.929,1.962,1.992,2.079,2.266,2.527,2.661,2.744,2.83,2.894,1.113,1.152,1.2,1.298,1.331,1.378,1.472,1.558,1.663,1.651,1.654,1.634,1.613,,0.7%
Cliffwood,07721,Monmouth,40.435961,-74.23734,Aberdeen Township,1301,3.492,3.473,3.538,3.679,3.758,3.982,4.274,4.581,4.76,5.004,5.067,5.26,2.145,2.199,2.229,2.338,2.4,2.514,2.56,2.583,2.565,2.607,2.612,,0.8%
Colts Neck,07722,Monmouth,40.300226,-74.18306,Colts Neck Township,1310,1.79,1.887,2.064,2.156,2.38,2.69,2.823,2.915,3.017,3.07,3.151,3.192,3.212,1.537,1.551,1.57,1.618,1.687,1.735,1.731,1.769,1.775,1.761,,0.9%
Cream Ridge,08514,Monmouth,40.134892,-74.48688,Upper Freehold Township,1351,2.267,2.276,2.386,2.473,2.587,2.663,2.82,2.968,3.071,1.596,1.632,1.659,1.769,1.911,2.161,2.206,2.248,2.329,2.347,2.372,2.401,2.433,2.397,,0.6%
Deal,07723,Monmouth,40.250104,-74.00153,Deal Borough,1311,0.922,0.985,0.96,0.936,1.017,0.638,0.758,0.769,0.821,0.999,1.087,1.174,0.48,0.527,0.563,0.696,0.702,0.714,0.715,0.699,0.697,0.694,0.709,,-0.1%
Eatontown,07724,Monmouth,40.301979,-74.06889,Eatontown Borough,1312,2.612,2.675,2.794,2.93,2.982,2.937,2.983,3.286,3.322,1.441,1.615,1.678,1.783,2.06,2.085,2.096,2.225,2.256,2.223,2.183,2.233,2.311,2.277,,0.2%
Englishtown,07726,Monmouth,40.294244,-74.34213,Englishtown Borough,1313,2.244,2.291,2.383,2.394,2.893,3.022,3.363,3.604,3.691,3.861,3.96,1.591,1.669,1.775,1.828,1.909,1.969,2.01,2.13,2.197,2.258,2.34,2.223,,2.1%
Fair Haven,07704,Monmouth,40.360581,-74.03738,Fair Haven Borough,1314,2.623,2.761,2.881,3.016,3.214,3.41,1.768,1.848,2.014,2.102,2.168,2.196,2.244,2.289,2.321,2.35,2.368,1.968,1.944,1.955,1.9,1.863,1.825,,-1.5%
Farmingdale,07727,Monmouth,40.205367,-74.15767,Farmingdale Borough,1315,2.782,2.802,2.821,3.011,2.987,3.07,3.461,3.659,1.725,1.76,1.716,1.692,1.674,1.678,1.769,1.811,1.943,1.827,1.884,2.047,2.085,2.115,2.277,,4.9%
Fort Monmouth,07703,Monmouth,40.309121,-74.0486,Tinton Falls Borough,1349,2.64,2.73,2.825,2.954,2.999,3.052,3.211,3.413,3.416,3.59,3.683,1.679,1.646,1.693,1.808,1.917,1.96,2.097,2.007,2.032,1.987,1.937,1.933,,-1.6%
Freehold,07728,Monmouth,40.241036,-74.27629,Freehold Borough,1316,2.941,2.899,2.904,2.98,3.023,3.221,3.38,3.552,1.815,1.949,2.04,2.127,2.207,2.246,2.31,2.326,2.343,2.419,2.534,2.655,2.712,2.701,2.65,,1.9%
Hazlet,07730,Monmouth,40.423298,-74.179,Hazlet Township,1318,2.798,2.811,2.822,2.93,3.151,3.437,3.688,3.849,4.105,4.373,4.537,4.658,2.121,2.22,2.294,2.326,2.693,2.718,2.55,2.556,2.563,2.564,2.543,,-1.3%
Highlands,07732,Monmouth,40.404474,-73.9904,Highlands Borough,1319,3.618,3.708,3.866,4.179,4.396,4.516,5.18,2.245,2.382,2.517,2.601,2.703,2.802,2.823,2.436,2.545,2.594,2.698,2.795,2.767,2.812,2.802,2.825,,0.9%
Holmdel,07733,Monmouth,40.384832,-74.17194,Holmdel Township,1320,2.202,2.36,2.468,2.552,2.642,2.816,2.961,3.152,3.238,3.3,1.518,1.556,1.609,1.946,1.961,2.017,2.059,2.09,1.999,2.006,2.029,2.021,2.029,,-0.6%
Howell,07731,Monmouth,40.146597,-74.20815,Howell Township,1321,2.275,2.355,2.451,2.627,2.858,3.174,3.388,3.627,3.778,4.062,1.883,1.922,1.961,2.037,2.07,2.585,2.585,2.559,2.374,2.35,2.32,2.295,2.284,,-2.1%
Imlaystown,08526,Monmouth,40.162275,-74.475936,Upper Freehold Township,1351,2.267,2.276,2.386,2.473,2.587,2.663,2.82,2.968,3.071,1.596,1.632,1.659,1.769,1.911,2.161,2.206,2.248,2.329,2.347,2.372,2.401,2.433,2.397,,0.6%
Keansburg,07734,Monmouth,40.444407,-74.13298,Keansburg Borough,1323,3.138,3.109,3.711,3.663,3.964,3.922,4.333,4.264,4.591,4.747,1.764,1.912,1.975,3.15,3.242,3.309,3.382,3.403,3.503,3.646,3.795,3.909,3.959,,3.3%
Keyport,07735,Monmouth,40.439714,-74.19374,Keyport Borough,1324,2.876,2.91,2.955,3.065,3.231,3.392,3.624,3.986,4.178,4.397,4.55,4.764,2.106,2.141,2.16,2.186,2.241,2.572,2.597,2.585,2.607,2.6,2.539,,-0.3%
Leonardo,07737,Monmouth,40.416772,-74.06058,Middletown Township,1332,2.592,2.638,2.68,2.862,2.918,3.083,3.205,3.324,3.429,3.558,3.659,3.787,1.725,1.795,2.087,2.108,2.14,2.189,2.136,2.131,2.124,2.167,2.112,,-0.7%
Lincroft,07738,Monmouth,40.337374,-74.12059,Middletown Township,1332,2.592,2.638,2.68,2.862,2.918,3.083,3.205,3.324,3.429,3.558,3.659,3.787,1.725,1.795,2.087,2.108,2.14,2.189,2.136,2.131,2.124,2.167,2.112,,-0.7%
Little Silver,07739,Monmouth,40.33517,-74.04059,Little Silver Borough,1325,2.588,2.702,2.754,2.855,2.959,3.198,1.846,1.976,2.012,2.086,2.12,2.145,2.219,2.259,2.299,2.373,2.244,2.15,2.009,1.984,2.008,1.998,1.99,,-1.5%
Long Branch,07740,Monmouth,40.297932,-73.99097,Long Branch,1327,3.26,3.225,3.306,3.374,3.437,3.499,2.159,2.302,2.354,2.442,1.347,1.422,1.473,1.877,1.898,1.959,2.043,2.113,2.227,2.021,2.061,2.114,2.102,,-0.1%
Manasquan,08736,Monmouth,40.120261,-74.05765,Manasquan Borough,1329,2.223,2.279,2.392,2.514,2.671,2.818,2.936,1.234,1.368,1.429,1.431,1.469,1.517,1.546,1.565,1.599,1.627,1.659,1.661,1.391,1.428,1.486,1.519,,-1.7%
Marlboro,07746,Monmouth,40.316876,-74.26112,Marlboro Township,1330,2.591,2.618,2.672,2.732,3.104,3.374,3.531,3.635,3.84,4.037,4.099,4.129,4.144,1.979,2.004,2.018,2.105,2.163,2.142,2.175,2.183,2.227,2.265,,0.9%
Matawan,07747,Monmouth,40.411102,-74.23767,Matawan Borough,1331,3.589,3.58,3.706,3.814,3.747,3.868,4.199,4.602,4.721,5.013,5.28,2.301,2.339,2.401,2.427,2.468,2.496,2.725,2.735,2.756,2.815,2.775,2.73,,0.0%
Middletown,07748,Monmouth,40.410213,-74.11718,Middletown Township,1332,2.592,2.638,2.68,2.862,2.918,3.083,3.205,3.324,3.429,3.558,3.659,3.787,1.725,1.795,2.087,2.108,2.14,2.189,2.136,2.131,2.124,2.167,2.112,,-0.7%
Millstone Township,08510,Monmouth,40.18238,-74.42134,Millstone Township,1333,2.293,2.328,2.316,2.481,2.664,1.928,2.008,2.096,2.315,2.331,2.549,2.548,2.575,2.086,2.207,2.489,2.485,2.496,2.274,2.163,2.175,2.185,2.243,,-2.0%
Monmouth Beach,07750,Monmouth,40.332877,-73.97986,Monmouth Beach Borough,1334,2.287,2.38,2.468,2.641,2.751,2.94,3.067,3.137,1.019,1.107,1.151,1.165,1.199,1.24,1.287,1.287,1.283,1.3,1.257,1.323,1.268,1.229,1.202,,-1.5%
Morganville,07751,Monmouth,40.361014,-74.26595,Marlboro Township,1330,2.591,2.618,2.672,2.732,3.104,3.374,3.531,3.635,3.84,4.037,4.099,4.129,4.144,1.979,2.004,2.018,2.105,2.163,2.142,2.175,2.183,2.227,2.265,,0.9%
Navesink,07752,Monmouth,40.402277,-74.027285,Middletown Township,1332,2.592,2.638,2.68,2.862,2.918,3.083,3.205,3.324,3.429,3.558,3.659,3.787,1.725,1.795,2.087,2.108,2.14,2.189,2.136,2.131,2.124,2.167,2.112,,-0.7%
Neptune,07753,Monmouth,40.208945,-74.05261,Neptune Township,1335,2.925,3.05,3.07,3.157,3.206,3.327,3.485,1.795,1.908,2.013,2.089,2.156,2.221,2.328,2.367,2.391,2.434,2.57,2.114,2.153,2.15,2.066,2.044,,-4.1%
Oakhurst,07755,Monmouth,40.263575,-74.02176,Ocean Township,1337,2.684,2.763,2.838,2.926,3.026,3.207,3.398,3.521,1.58,1.674,1.733,1.799,1.824,2.041,2.082,2.111,2.155,2.221,2.25,2.279,2.051,2.039,1.986,,-2.1%
Ocean Grove,07756,Monmouth,40.211982,-74.00916,Ocean Township,1337,2.684,2.763,2.838,2.926,3.026,3.207,3.398,3.521,1.58,1.674,1.733,1.799,1.824,2.041,2.082,2.111,2.155,2.221,2.25,2.279,2.051,2.039,1.986,,-2.1%
Oceanport,07757,Monmouth,40.318115,-74.01239,Oceanport Borough,1338,2.414,2.48,2.505,2.578,2.738,2.862,3.005,3.181,3.291,1.306,1.346,1.411,1.47,1.984,2.041,2.049,2.063,2.045,2.074,2.143,2.157,1.789,1.801,,-2.4%
Perrineville,08535,Monmouth,40.228497,-74.45064,Millstone Township,1333,2.293,2.328,2.316,2.481,2.664,1.928,2.008,2.096,2.315,2.331,2.549,2.548,2.575,2.086,2.207,2.489,2.485,2.496,2.274,2.163,2.175,2.185,2.243,,-2.0%
Port Monmouth,07758,Monmouth,40.427561,-74.1069,Middletown Township,1332,2.592,2.638,2.68,2.862,2.918,3.083,3.205,3.324,3.429,3.558,3.659,3.787,1.725,1.795,2.087,2.108,2.14,2.189,2.136,2.131,2.124,2.167,2.112,,-0.7%
Red Bank,07701,Monmouth,40.352953,-74.07703,Red Bank Borough,1339,3.232,3.325,3.411,3.483,2.518,2.697,2.974,3.076,3.223,3.428,1.541,1.594,1.613,1.679,1.712,1.757,1.81,1.913,2.033,2.107,2.11,2.187,2.211,,3.1%
Roosevelt,08555,Monmouth,40.22142,-74.47378,Roosevelt Borough,1340,4.467,4.783,5.331,4.954,4.535,4.621,4.629,4.625,4.69,4.78,2.023,2.143,2.327,2.77,2.817,2.841,2.913,2.996,2.919,2.868,2.901,2.902,3.039,,0.3%
Rumson,07760,Monmouth,40.369145,-73.99576,Rumson Borough,1341,2.153,2.221,2.295,2.477,2.634,2.811,3.047,1.255,1.323,1.358,1.389,1.418,1.431,1.49,1.508,1.546,1.608,1.457,1.453,1.433,1.469,1.482,1.469,,0.2%
Sea Girt,08750,Monmouth,40.133754,-74.04123,Sea Girt Borough,1343,1.316,1.39,1.436,1.523,1.646,1.784,1.87,1.907,0.633,0.669,0.692,0.701,0.725,0.748,0.743,0.752,0.775,0.789,0.724,0.709,0.681,0.677,0.688,,-2.6%
Shrewsbury,07702,Monmouth,40.329128,-74.06315,Shrewsbury Borough,1344,2.544,2.647,2.725,2.839,2.985,3.145,1.981,2.064,2.152,2.267,2.356,2.464,2.554,2.634,2.709,2.694,2.168,2.271,2.176,2.11,2.136,2.151,2.145,,-1.1%
Spring Lake,07762,Monmouth,40.153024,-74.03372,Spring Lake Borough,1347,1.432,1.449,1.121,1.189,1.263,1.378,1.535,1.581,0.569,0.622,0.644,0.646,0.645,0.649,0.647,0.659,0.671,0.686,0.698,0.683,0.626,0.628,0.63,,-1.6%
Tennent,07763,Monmouth,40.302718,-74.24928,Manalapan Township,1328,2.584,2.683,2.686,2.813,3.051,3.272,3.456,3.591,3.528,3.607,1.645,1.699,1.701,1.986,1.987,2.006,2.031,2.08,2.025,2.004,2.021,2.023,2.011,,-0.7%
West Long Branch,07764,Monmouth,40.289985,-74.01671,West Long Branch Borough,1353,2.47,2.609,2.728,2.183,2.316,2.461,2.657,2.829,3.07,1.594,1.681,1.728,1.789,1.849,1.88,1.887,2.311,2.331,2.175,2.172,2.216,2.116,2.044,,-2.5%
Wickatunk,07765,Monmouth,40.302718,-74.24928,Marlboro Township,1330,2.591,2.618,2.672,2.732,3.104,3.374,3.531,3.635,3.84,4.037,4.099,4.129,4.144,1.979,2.004,2.018,2.105,2.163,2.142,2.175,2.183,2.227,2.265,,0.9%
Boonton,07005,Morris,40.912798,-74.41516,Boonton,1401,2.42,2.51,2.59,2.67,2.68,2.79,2.88,3.1,3.31,3.71,4.02,1.91,2.023,2.104,2.479,2.516,2.588,2.647,2.707,2.752,2.826,2.949,3.029,,2.9%
Brookside,07926,Morris,40.800353,-74.571785,Mendham Township,1419,1.94,1.99,2.12,2.26,2.36,2.54,2.7,2.81,1.4,1.48,1.53,1.554,1.628,1.887,1.901,1.918,1.938,1.981,2.027,2.065,2.068,2.117,2.158,,1.8%
Budd Lake,07828,Morris,40.878198,-74.73875,Mount Olive Township,1427,4.52,4.58,2.44,2.61,2.76,2.93,3.05,3.24,3.54,3.79,4,2.265,2.376,2.904,2.954,2.999,3.061,3.09,3.087,3.111,3.116,3.173,3.205,,0.7%
Butler,07405,Morris,40.99313,-74.35893,Butler Borough,1403,4.08,4.05,4.08,4.27,4.53,4.58,2.13,2.24,2.35,2.5,2.61,2.697,2.752,2.881,3.028,3.103,3.191,3.265,3.369,3.424,3.515,3.607,3.654,,2.4%
Cedar Knolls,07927,Morris,40.821149,-74.45121,Hanover Township,1412,3.06,1.52,1.6,1.67,1.76,1.85,1.96,2.08,2.18,2.34,2.45,2.539,2.639,2.761,2.874,1.63,1.658,1.628,1.663,1.731,1.757,1.799,1.825,,2.4%
Chatham,07928,Morris,40.7332,-74.39736,Chatham Borough,1404,2.25,2.36,2.5,2.63,2.75,2.89,3.1,3.31,1.39,1.5,1.52,1.6,1.658,1.684,1.75,1.822,1.868,1.897,1.911,1.934,1.986,2.045,2.104,,2.2%
Chester,07930,Morris,40.786549,-74.68799,Chester Borough,1406,2.41,2.58,2.69,2.74,2.09,2.08,2.11,2.24,1.92,1.81,1.86,1.892,1.985,2.361,2.407,2.451,2.538,2.501,2.659,2.611,2.587,2.626,2.653,,1.2%
Denville,07834,Morris,40.886149,-74.48704,Denville Township,1408,2.71,2.77,2.95,3.14,3.21,1.82,1.97,2.15,2.24,2.32,2.45,2.585,2.641,2.682,2.772,2.88,2.973,3.057,3.119,2.386,2.443,2.463,2.486,,-3.7%
Dover,07801,Morris,40.889166,-74.55462,Dover,1409,5.78,2.74,2.79,2.91,2.95,3.12,3.25,3.37,3.64,3.78,3.87,4.012,1.807,1.838,1.885,1.958,1.987,2.034,2.055,2.402,2.46,2.577,2.727,,6.8%
East Hanover,07936,Morris,40.820012,-74.36474,East Hanover Township,1410,2.06,2.15,2.21,2.37,2.45,1.37,1.46,1.51,1.67,1.78,1.85,1.89,1.962,2.07,2.08,2.075,2.086,2.094,2.14,2.171,2.201,2.275,2.346,,2.4%
Flanders,07836,Morris,40.84405,-74.70134,Mount Olive Township,1427,4.52,4.58,2.44,2.61,2.76,2.93,3.05,3.24,3.54,3.79,4,2.265,2.376,2.904,2.954,2.999,3.061,3.09,3.087,3.111,3.116,3.173,3.205,,0.7%
Florham Park,07932,Morris,40.77835,-74.39009,Florham Park Borough,1411,1.62,1.64,1.59,1.7,1.75,1.83,1.96,2.1,2.25,1.15,1.17,1.19,1.236,1.25,1.288,1.33,1.348,1.378,1.408,1.433,1.473,1.511,1.54,,2.4%
Gillette,07933,Morris,40.683934,-74.47079,Long Hill Township,1430,3.14,3.31,3.41,3.63,3.82,1.87,1.98,2.15,2.3,2.4,2.5,2.564,2.662,2.725,2.815,2.859,2.956,2.868,2.932,2.348,2.356,2.376,2.392,,-3.3%
Green Village,07935,Morris,40.739333,-74.45631,Harding Township,1413,1.4,1.43,1.59,1.64,1.74,0.8,0.84,0.88,0.93,0.94,1.04,1.036,1.058,1.031,1.051,1.065,1.073,1.043,1.08,1.106,1.124,1.13,1.152,,2.1%
Greystone Park,07950,Morris,40.842399,-74.48223,Parsippany-Troy Hills Township,1429,4.17,4.28,4.46,4.68,4.78,4.93,1.72,1.81,1.9,2.03,2.14,2.227,2.335,2.442,2.498,2.557,2.601,2.663,2.699,2.769,2.818,2.883,2.948,,2.1%
Hibernia,07842,Morris,40.940301,-74.49617,Rockaway Borough,1434,2.41,2.48,2.61,2.7,2.7,2.83,2.96,1.83,1.94,2.02,2.12,2.253,2.305,2.357,2.421,2.496,2.566,2.703,2.804,2.844,2.948,3.057,3.088,,2.8%
Ironia,07845,Morris,40.867331,-74.578269,Randolph Township,1432,4.59,4.74,4.96,2.13,2.25,2.34,2.47,2.58,2.69,2.83,2.94,3.042,3.109,3.224,3.346,3.417,3.489,3.56,3.616,3.66,2.53,2.562,2.595,,-5.4%
Kenvil,07847,Morris,40.88038,-74.62009,Roxbury Township,1436,5.04,5.23,5.45,2.36,2.51,2.65,2.78,2.97,3.2,3.35,3.49,3.638,3.704,3.797,3.873,3.929,3.973,4.034,4.099,4.203,4.287,4.31,2.58,,-7.2%
Lake Hiawatha,07034,Morris,40.881149,-74.38112,Parsippany-Troy Hills Township,1429,4.17,4.28,4.46,4.68,4.78,4.93,1.72,1.81,1.9,2.03,2.14,2.227,2.335,2.442,2.498,2.557,2.601,2.663,2.699,2.769,2.818,2.883,2.948,,2.1%
