City,Zip Code,County,Latitude,Longitude,Municipality,Muni Code,2012,2013,2014,2015,2016,2017,2018
Bernardsville,7924,Somerset,40.72344,-74.57753,Bernardsville Borough,1803,7741,7727,7715,7703,7712,7697,7686
Bound Brook,8805,Somerset,40.567953,-74.54034,Bound Brook Borough,1804,10477,10464,10426,10375,10333,10312,10289
Manville,8835,Somerset,40.538903,-74.59222,Manville Borough,1811,10401,10393,10335,10285,10293,10248,10234
Raritan,8869,Somerset,40.571302,-74.6374,Raritan Borough,1816,6907,7219,7435,7921,7903,7884,7875
Somerville,8876,Somerset,40.545853,-74.63592,Somerville Borough,1818,12143,12125,12091,12038,12009,12223,12202
Watchung,7069,Somerset,40.641207,-74.443695,Watchung Borough,1821,6047,6054,6044,6020,6025,6038,6055
Hopatcong,7843,Sussex,40.937206,-74.66147,Hopatcong Borough,1912,14911,14759,14628,14430,14323,14251,14203
Newton,7860,Sussex,41.0714,-74.80199,Newton,1915,8087,8007,7934,7933,7875,7812,7938
Elizabeth,7201,Union,40.669502,-74.19889,Elizabeth,2004,126605,127305,127698,127746,128074,128205,128885
Fanwood,7023,Union,40.641852,-74.38533,Fanwood Borough,2005,7370,7416,7428,7563,7659,7679,7704
Kenilworth,7033,Union,40.674652,-74.2908,Kenilworth Borough,2008,8001,8072,8104,8133,8159,8182,8220
Linden,7036,Union,40.633953,-74.25339,Linden,2009,40830,41056,41340,41631,42282,42395,42538
Mountainside,7092,Union,40.680301,-74.35601,Mountainside Borough,2010,6737,6786,6781,6793,6832,6854,6892
New Providence,7974,Union,40.698268,-74.40225,New Providence Borough,2011,12282,12313,12341,12374,12716,13114,13486
Plainfield,7060,Union,40.620102,-74.42481,Plainfield,2012,50077,50333,50430,50596,50416,50527,50693
Rahway,7065,Union,40.607103,-74.28099,Rahway,2013,28118,28262,28833,29192,29310,29648,29880
Roselle,7203,Union,40.653502,-74.26058,Roselle Borough,2014,21248,21355,21395,21435,21513,21614,21902
Roselle Park,7204,Union,40.665552,-74.26768,Roselle Park Borough,2015,13408,13481,13506,13526,13576,13603,13650
Summit,7901,Union,40.714501,-74.3633,Summit,2018,21648,21797,21821,21858,21921,21974,22016
Westfield,7090,Union,40.649202,-74.34567,Westfield,2020,30407,30466,30355,30224,30055,29939,29881
Hackettstown,7840,Warren,40.861748,-74.83054,Hackettstown,2108,9610,9543,9539,9567,9506,9479,9463
Phillipsburg,8865,Warren,40.689123,-75.17243,Phillipsburg,2119,14682,14565,14559,14505,14384,14333,14303
Washington,7882,Warren,40.753753,-74.99617,Washington Borough,2121,6461,6471,6511,6493,6459,6464,6452
