,city,latlng,radius,activityScore
388,Avalon,"39.092928,-74.72688000000002",4123.272192371911,260
389,Brigantine,"39.401801,-74.38016999999998",5743.64991791271,416
390,Cape May,"38.963652,-74.92319",3307.4531804229323,370
391,Cape May Court House,"39.081754,-74.83658",5363.000256755431,286
392,Cape May Point,"38.936896,-74.96526",870.9543218275118,52
393,Cologne,"39.509208,-74.60855699999998",139.25696259716293,0
394,Dennisville,"39.056521,-74.81661899999997",397.29155567681795,0
395,Egg Harbor City,"39.548049,-74.62171",6963.783446976255,221
396,Elwood,"39.575273,-74.72103",3316.606015583094,45
397,Goshen,"39.056521,-74.81661899999997",300.85901176595763,0
398,Green Creek,"39.056521,-74.81661899999997",426.2757237179426,0
399,Leeds Point,"39.509208,-74.60855699999998",156.02674170190485,0
400,Linwood,"39.348616,-74.57387",3540.331374946028,266
401,Marmora,"39.264412,-74.64986",4504.773914125984,188
402,New Gretna,"39.595957,-74.45628",1014.8599398762199,13
403,Northfield,"39.370083,-74.55211",2939.7279635194122,221
404,Ocean City,"39.265371,-74.59380999999998",7103.849842681642,435
405,Ocean View,"39.20877,-74.70438",4800.0,227
406,Oceanville,"39.509208,-74.60855699999998",201.06358565354245,0
407,Pleasantville,"39.394616,-74.52212",4458.182749153977,279
408,Egg Harbor Township,"39.398172,-74.59666999999997",14030.558628889075,487
409,Pomona,"39.487717,-74.554334",3092.3327080863237,162
410,Port Republic,"39.527903,-74.4917",4689.122323916492,162
411,Rio Grande,"39.017837,-74.87515",2430.1723645010456,162
412,Sea Isle City,"39.145755,-74.69865",4117.031364919959,292
413,Somers Point,"39.319901,-74.5999",3600.0717553942045,299
414,South Dennis,"39.176208,-74.81723000000002",239.0756866098327,0
415,South Seaville,"39.056521,-74.81661899999997",448.6148379511693,6
416,Stone Harbor,"39.051289,-74.76204",3272.321161516898,227
417,Strathmere,"39.197394,-74.65699000000002",2005.9494524504087,65
418,Tuckahoe,"39.056521,-74.81661899999997",4800.0,240
419,Villas,"39.022256,-74.93616",3133.217020067451,195
420,Whitesboro,"39.037404,-74.85749",3169.1331981370704,156
421,Wildwood,"38.987556,-74.822",1868.0934566187943,416
422,Woodbine,"39.27505900000001,-74.80041",4624.007093933094,78
423,Bridgeton,"39.445164,-75.24215",3609.2062755863985,234
424,Buena,"39.522686,-74.89684",4165.242029533764,110
425,Cedarville,"39.337205,-75.18576999999998",2529.1582193012773,13
426,Clayton,"39.655964,-75.08736",4400.236087498516,143
427,Deerfield Street,"39.530314,-75.22901",6263.526843022687,45
428,Delmont,"39.219301,-74.94015999999998",4800.0,26
429,Dividing Creek,"39.273214,-75.095025",489.29974928801795,6
430,Dorchester,"39.274714,-74.97546",1151.3102181248357,0
431,Dorothy,"39.406518,-74.82706",4800.0,39
432,Elmer,"39.553504,-75.16843",1329.7535995552037,6
433,Estell Manor,"39.376098999999996,-74.81456",11936.457000439144,325
434,Fairton,"39.379906,-75.221681",3183.9457068132974,39
435,Fortescue,"39.239649,-75.17225",1008.853007843948,19
436,Franklinville,"39.618222,-75.0618",3168.2029256900482,91
437,Greenwich,"39.402763,-75.3574",7052.999316855162,97
438,Heislerville,"39.218484,-74.99001",1267.0924740521793,6
439,Landisville,"39.524179,-74.9385",1100.9079031889219,58
440,Leesburg,"39.254836,-74.97766999999997",2412.0670716250215,6
441,Malaga,"39.572449,-75.0543",1465.338347799944,71
442,Mauricetown,"39.28546400000001,-74.99687",1134.331801385979,19
443,Mays Landing,"39.478771,-74.7581",2631.2662341575483,52
444,Millville,"39.379382,-75.03923",10648.142876478048,390
445,Milmay,"39.437265,-74.87926",3147.389524887325,13
446,Minotola,"39.517539,-74.94972",1804.480735324626,58
447,Mizpah,"39.50208,-74.833469",455.5485648652954,0
448,Monroeville,"39.633964,-75.15643",1833.4867371533603,13
