Rank,School,Address,City,Municipal ID,Zip,District,Full_Address,Latitude,Longitude,EduScore
55,Cinnaminson High School,1197 Riverton Road,Cinnaminson,308,8077,Cinnaminson Township Public Schools,"1197 Riverton Road, Cinnaminson, NJ 08077",40.00753,-74.9963978,402
56,Arthur L. Johnson High School,365 Westfield Avenue,Clark,2002,7066,Clark Township Public School District,"365 Westfield Avenue, Clark, NJ 07066",40.622651,-74.312659,234
57,Clayton High School,55 Pop Kramer Blvd,Clayton,801,8312,Clayton Public School District,"55 Pop Kramer Blvd, Clayton, NJ 08312",39.6603501,-75.0838539,94
58,Cliffside Park High School,64 Riverview Avenue,Cliffside Park,206,7010,Cliffside Park School District,"64 Riverview Avenue, Cliffside Park, NJ 07010",40.8215275,-73.9866968,197
59,Clifton High School,333 Colfax Avenue,Clifton,1602,7013,Clifton Public School District,"333 Colfax Avenue, Clifton, NJ 07013",40.8696445,-74.1633561,182
60,Collingswood High School,424 Collings Ave,Collingswood,412,8108,Collingswood Public School District,"424 Collings Ave, Collingswood, NJ 08108",39.91276,-75.077313,236
61,Colonia High School,East Street,Colonia,1225,7067,Woodbridge Township School District,"East Street, Colonia, NJ 07067",40.5964971,-74.319605,204
62,Colts Neck High School,59 Five Points Road,Colts Neck,1310,7722,Freehold Regional High School District,"59 Five Points Road, Colts Neck, NJ 07722",40.2762786,-74.2089446,345
63,Northern Burlington County Regional High School,160 Mansfield Road East,Columbus,318,8022,Northern Burlington County Regional School District,"160 Mansfield Road East, Columbus, NJ 08022",40.0882,-74.6855999,290
64,Cranford High School,201 West End Place,Cranford,2003,7016,Cranford Public School District,"201 West End Place, Cranford, NJ 07016",40.6620994,-74.3132307,298
65,Cresskill High School,1 Lincoln Dr,Cresskill,208,7626,Cresskill Public School District,"1 Lincoln Dr, Cresskill, NJ 07626",40.9482849,-73.9640858,424
66,Delran High School,50 Hartford Road,Delran,310,8075,Delran Township School District,"50 Hartford Road, Delran, NJ 08075",40.0132905,-74.9440595,227
67,Northern Valley Regional High School At Demarest,150 Knickerbocker Road,Demarest,209,7627,Northern Valley Regional High School District,"150 Knickerbocker Road, Demarest, NJ 07627",40.9625641,-73.9740798,477
68,Morris County School of Technology,400 East Main Street,Denville,1408,7834,Morris County Vocational School District,"400 East Main Street, Denville, NJ 07834",40.8785707,-74.4791225,483
69,Morris Knolls High School,50 Knoll Drive,Denville,1408,7834,Morris Hills Regional School District,"50 Knoll Drive, Denville, NJ 07834",40.8856444,-74.5085822,372
70,Deptford Township High School,575 S Fox Run Rd,Deptford,802,8096,Deptford Township Public School District,"575 S Fox Run Rd, Deptford, NJ 08096",39.81183,-75.110807,226
71,Dover High School,100 Grace Street,Dover,1409,7801,Dover Public School District,"100 Grace Street, Dover, NJ 07801",40.8979444,-74.559693,237
72,Dumont High School,101 New Milford Ave,Dumont,210,7628,Dumont Public School District,"101 New Milford Ave, Dumont, NJ 07628",40.9436379,-73.99797,408
73,Dunellen High School,411 First Street,Dunellen,1203,8812,Dunellen Public School District,"411 First Street, Dunellen, NJ 08812",40.5922364,-74.4680411,168
74,East Brunswick High School,380 Cranbury Road,E Brunswick,1204,8816,East Brunswick Township School District,"380 Cranbury Road, E Brunswick, NJ 08816",40.4328315,-74.3982401,377
75,Middlesex County Vocational School East Brunswick,112 Rues Lane,East Brunswick,1204,8816,Middlesex County Vocational and Technical School District,"112 Rues Lane, East Brunswick, NJ 08816",40.4220816,-74.3860123,144
