,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
6,ESSEX FELLS TWP,40.827499,-74.28091,33,"18,819,051","570,274"
7,FAIRFIELD TWP,40.827499,-74.28091,102,"27,196,000","266,627"
8,GLEN RIDGE TWP,40.80495,-74.2047,164,"52,276,167","318,757"
9,IRVINGTON TWP,40.744851,-74.03294,522,"58,754,529","112,557"
10,LIVINGSTON TWP,40.850621,-74.04112,386,"131,796,534","341,442"
11,MAPLEWOOD TWP,40.502477,-74.650023,485,"117,831,034","242,951"
12,MILLBURN TWP,40.587606,-75.10402,359,"240,341,201","669,474"
13,MONTCLAIR TWP,40.389428,-74.54329,353,"99,833,723","282,815"
14,NEWARK CITY,40.51057,-74.72472,"1,105","132,891,507","120,264"
15,NORTH CALDWELL TWP,40.51057,-74.72472,84,"34,962,500","416,220"
16,NUTLEY TWP,40.51057,-74.72472,347,"62,093,666","178,944"
17,ORANGE CITY TWP,40.681694,-74.73624,168,"18,344,318","109,192"
18,ROSELAND BORO,40.563654,-74.949409,74,"23,730,800","320,686"
19,SOUTH ORANGE VILLAGE TWP,40.553803,-74.52976,320,"91,958,822","287,371"
20,VERONA BORO TWP,40.500254,-74.4257,241,"53,418,400","221,653"
21,WEST CALDWELL TWP,40.500254,-74.4257,151,"39,366,535","260,706"
22,WEST ORANGE TWP,40.500254,-74.4257,846,"185,503,506","219,271"
1,CLAYTON BORO,40.855854,-74.22898,66,"6,847,950","103,757"
2,DEPTFORD TWP,40.656302,-74.30371,146,"14,097,115","96,556"
3,EAST GREENWICH TWP,40.656302,-74.30371,45,"6,771,350","150,474"
4,ELK TWP,40.830733,-73.97334,20,"2,251,000","112,550"
5,FRANKLIN TWP,40.849879,-73.97501,74,"8,666,999","117,122"
6,GLASSBORO BORO,40.650802,-74.32351,179,"19,935,860","111,374"
7,GREENWICH TWP,40.80495,-74.2047,31,"3,276,500","105,694"
8,HARRISON TWP,40.745951,-74.15509,115,"19,803,450","172,204"
9,LOGAN TWP,40.877999,-74.08265,105,"12,705,900","121,009"
10,MANUTA TWP,40.502477,-74.650023,185,"21,382,650","115,582"
11,MONROE TWP,40.389428,-74.54329,288,"33,885,613","117,658"
12,NATIONAL PARK BORO,40.389428,-74.54329,26,"2,239,590","86,138"
13,NEWFIELD BORO,40.51057,-74.72472,6,"541,000","90,167"
14,PAULSBORO BORO,40.461851,-74.30343,42,"2,966,585","70,633"
15,PITMAN BORO,40.689123,-75.17243,100,"11,191,749","111,917"
16,SOUTH HARRISON TWP,40.553803,-74.52976,27,"5,144,450","190,535"
17,SWEDESBORO BORO,40.500254,-74.4257,20,"2,064,800","103,240"
18,WASHINGTON TWP,40.500254,-74.4257,701,"86,267,956","123,064"
19,WENONAH BORO,40.500254,-74.4257,34,"5,383,950","158,351"
20,WEST DEPTFORD TWP,40.500254,-74.4257,181,"19,721,525","108,959"
21,WESTVILLE BORO,40.500254,-74.4257,42,"3,697,450","88,035"
22,WOODBURY CITY,40.500254,-74.4257,113,"11,396,709","100,856"
23,WOODBURY HEIGHTS BORO,40.500254,-74.4257,22,"2,724,100","123,823"
24,WOOLWICH TWP,40.500254,-74.4257,23,"4,564,550","198,459"
1,BAYONNE CITY,40.666552,-74.11768,385,"61,479,812","159,688"
2,EAST NEWARK BORO,40.656302,-74.30371,13,"2,204,000","169,538"
3,GUTTENBERG TOWN,40.80495,-74.2047,160,"32,470,850","202,943"
4,HARRISON TOWN,40.745951,-74.15509,91,"14,898,150","163,716"
5,HOBOKEN CITY,40.744851,-74.03294,626,"148,709,469","237,555"
6,JERSEY CITY CITY,40.744851,-74.03294,"1,719","237,621,129","138,232"
7,KEARNY TOWN,40.744851,-74.03294,329,"55,711,010","169,334"
8,NORTH BERGEN TWP,40.51057,-74.72472,519,"84,843,361","163,475"
9,SECAUCUS TOWN,40.430006,-74.417344,226,"44,343,609","196,211"
10,UNION CITY CITY,40.500254,-74.4257,212,"30,898,199","145,746"
11,WEEHAWKEN TWP,40.500254,-74.4257,133,"32,584,383","244,995"
12,WEST NEW YORK TOWN,40.500254,-74.4257,195,"31,064,590","159,306"
1,ALEXANDRIA TWP,40.5908,-75.0261,44,"11,298,350","256,781"
2,BETHLEHAM TWP,40.666552,-74.11768,51,"14,220,750","278,838"
3,BLOOMSBURY BORO,40.803,-74.18895,22,"3,608,130","164,006"
4,CALIFON BORO,40.848999,-74.27917,27,"6,198,800","229,585"
5,CLINTON TOWN,40.879699,-74.14263,14,"3,174,300","226,736"
6,CLINTON TWP,40.879699,-74.14263,92,"23,434,500","254,723"
7,DELAWARE TWP,40.656302,-74.30371,45,"14,263,250","316,961"
8,EAST AMWELL TWP,40.656302,-74.30371,43,"10,754,200","250,098"
9,FLEMINGTON BORO,40.641852,-74.38533,55,"9,528,100","173,238"
10,FRANKLIN TWP,40.849879,-73.97501,35,"11,030,975","315,171"
11,FRENCHTOWN BORO,40.849879,-73.97501,25,"4,208,825","168,353"
12,GLEN GARDNER BORO,40.650802,-74.32351,76,"8,205,211","107,963"
13,HAMPTON BORO,40.80495,-74.2047,20,"3,077,400","153,870"
14,HIGH BRIDGE BORO,40.745951,-74.15509,112,"16,521,270","147,511"
