2006 Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
10,FRANKLIN TWP,42,"22,160,500","527,631"
11,FRENCHTOWN BORO,24,"7,536,150","314,006"
12,GLEN GARDNER BORO,57,"13,049,400","228,937"
13,HAMPTON BORO,10,"3,032,000","303,200"
14,HIGH BRIDGE BORO,78,"24,985,200","320,323"
15,HOLLAND TWP,79,"30,161,850","381,796"
16,KINGWOOD TWP,27,"12,332,550","456,761"
17,LAMBERTVILLE CITY ,39,"14,059,853","360,509"
18,LEBANON BORO,30,"10,068,300","335,610"
19,LEBANON TWP,63,"30,474,950","483,729"
20,MILFORD BORO,15,"4,433,900","295,593"
21,RARITAN TWP,389,"168,769,087","433,854"
22,READINGTON TWP,179,"88,464,052","494,213"
23,STOCKTON BORO,5,"1,840,000","368,000"
24,TEWKSBURY TWP,89,"73,917,600","824,943"
25,UNION TWP,105,"40,388,982","384,657"
26,WEST AMWELL TWP,26,"11,150,800","428,877"
,HUNTERDON COUNTY,"1,564","703,430,327","449,764"
,,,,
11,MERCER COUNTY,,,
01,EAST WINDSOR TWP,502,"155,851,139","310,460"
02,EWING TWP,308,"73,853,529","239,784"
03,HAMILTON TWP,"1,347","338,779,591","251,507"
04,HIGHTSTOWN BORO,73,"22,743,666","311,557"
05,HOPEWELL BORO,10,"4,488,900","448,890"
06,HOPEWELL TWP,99,"52,163,687","526,906"
07,LAWRENCE TWP,554,"200,576,545","362,052"
08,PENNIGTON BORO,14,"7,137,000","509,786"
09,PRINCETON BORO,79,"65,280,899","826,340"
10,PRINCETON TWP,224,"193,866,141","865,474"
11,TRENTON CITY,859,"92,209,133","107,345"
12,ROBBINSVILLE TWP,264,"98,499,487","373,104"
13,WEST WINDSOR TWP,125,"66,800,088","534,401"
,MERCER COUNTY,"4,458","1,372,249,805","307,817"
,,,,
12,MIDDLESEX COUNTY,,,
01,CARTERET BORO,292,"93,212,005","319,219"
02,CRANBURY TWP,43,"29,378,600","683,223"
03,DUNELLEN BORO,122,"39,153,860","320,933"
04,EAST BRUNSWICK TWP,650,"247,036,979","380,057"
05,EDISON TWP,"1,186","456,712,013","385,086"
06,HELMETTA BORO,55,"13,859,100","251,984"
07,HIGHLAND PARK BORO,124,"45,326,650","365,538"
08,JAMESBURG BORO,106,"31,167,287","294,031"
09,METUCHEN BORO,243,"99,425,721","409,159"
10,MIDDLESEX BORO,166,"54,018,500","325,413"
11,MILLTOWN BORO,105,"38,302,986","364,790"
12,MONROE TWP,588,"208,171,125","354,033"
13,NEW BRUNSWICK CITY,475,"156,639,665","329,768"
14,NORTH BRUNSWICK TWP,597,"201,823,894","338,063"
15,OLD BRIDGE TWP,911,"329,343,083","361,518"
16,PERTH AMBOY CITY,196,"62,312,927","317,923"
17,PISCATAWAY TWP,677,"238,800,655","352,734"
18,PLAINSBORO TWP,343,"120,213,124","350,476"
19,SAYREVILLE BORO,572,"196,419,501","343,391"
20,SOUTH AMBOY CITY,122,"43,808,395","359,085"
21,SOUTH BRUNSWICK TWP,603,"244,113,899","404,832"
22,SOUTH PLAINSFIELD BORO,265,"93,582,092","353,140"
23,SOUTH RIVER BORO,189,"65,119,418","344,547"
24,SPOTSWOOD BORO,105,"32,109,319","305,803"
25,WOODBRIDGE TWP,"1,333","433,954,006","325,547"
,MIDDLESEX COUNTY,"10,068","3,574,004,804","354,987"
,,,,
13,MOMMOUTH COUNTY,,,
01,ABERDEEN TWP,405,"137,297,495","339,006"
02,ALLENHURST BORO,8,"11,480,555","1,435,069"
03,ALLENTOWN BORO,15,"4,772,450","318,163"
04,ASBURY PARK CITY,207,"62,458,118","301,730"
05,ATLANTIC HIGHLANDS BORO,66,"31,740,250","480,913"
06,AVON-BY-THE-SEA BOR,32,"30,982,099","968,191"
07,BELMAR BORO,121,"66,225,229","547,316"
08,BRADLEY BEACH BORO,37,"19,004,999","513,649"
09,BRIELLE BORO,87,"67,657,550","777,673"
10,COLTS NECK TWP,137,"127,595,153","931,351"
11,DEAL BORO,8,"10,060,000","1,257,500"
12,EATONTOWN BORO,44,"17,434,500","396,239"
13,ENGLISHTOWN BORO,33,"10,401,378","315,193"
14,FAIR HAVEN BORO,121,"94,005,050","776,901"
15,FARMINGDALE BORO,9,"3,297,500","366,389"
16,FREEHOLD BORO,213,"63,762,723","299,356"
17,FREEHOLD TWP,631,"256,806,058","406,983"
18,HAZLET TWP,245,"86,640,050","353,633"
19,HIGHLANDS BORO,159,"48,751,093","306,611"
20,HOLMDEL TWP,296,"222,616,926","752,084"
21,HOWELL TWP,967,"346,014,823","357,715"
22,INTERLAKEN BORO,19,"15,228,900","801,521"
23,KEANSBURG BORO,298,"65,944,626","221,291"
24,KEYPORT BORO,138,"43,346,239","314,103"
25,LITTLE SILVER BORO,96,"62,892,700","655,132"
26,LOCH ARBOUR VILLAGE,14,"20,142,500","1,438,750"
27,LONG BRANCH CITY,476,"232,619,384","488,696"
28,MANALAPAN TWP,758,"318,274,584","419,887"
29,MANASQUAN BORO,97,"66,026,900","680,690"
30,MARLBORO TWP,529,"288,019,100","544,460"
31,MATAWAN BORO,114,"42,268,100","370,773"
32,MIDDLETOWN TWP,"1,035","455,144,317","439,753"
33,MILLSTONE TWP,119,"73,252,500","615,567"
34,MONMOUTH BEACH BORO,115,"77,070,050","670,174"
35,NEPTUNE TWP,536,"190,512,709","355,434"
36,NEPTUNE CITY BORO,80,"23,422,182","292,777"
37,OCEAN TWP,372,"187,488,163","504,000"
38,OCEANPORT BORO,21,"11,516,900","548,424"
39,RED BANK BORO,236,"102,931,844","436,152"
40,ROOSEVELT BORO,16,"4,390,500","274,406"
41,RUMSON BORO,136,"170,967,799","1,257,116"
42,SEA BRIGHT BORO,54,"30,794,000","570,259"
43,SEA GIRT BORO,40,"65,220,011","1,630,500"
44,SHREWSBURY BORO,53,"35,016,137","660,682"
45,SHREWSBURY TWP,11,"2,655,900","241,445"
46,LAKE COMO BORO,23,"8,828,000","383,826"
47,SPRING LAKE BORO,68,"101,192,394","1,488,123"
48,SPRING LAKE HEIGHTS BORO,88,"43,364,400","492,777"
49,TINTON FALLS BORO,399,"141,041,604","353,488"
50,UNION BEACH BORO,78,"21,616,960","277,141"
51,UPPER FREEHOLD TWP,34,"19,364,300","569,538"
52,WALL TWP,344,"177,216,803","515,165"
53,WEST LONG BRANCH BORO,27,"14,123,900","523,107"
,MONMOUTH COUNTY,"10,265","4,830,898,405","470,618"
,,,,
14,MORRIS COUNTY,,,
01,BOONTON TOWN,107,"46,053,500","430,407"
02,BOONTON TWP,49,"30,680,469","626,132"
03,BULTER BORO,95,"36,228,570","381,353"
04,CHATHAM BORO,138,"105,646,916","765,557"
05,CHATHAM TWP,211,"166,206,451","787,708"
06,CHESTER BORO,3,"1,621,300","540,433"
07,CHESTER TWP,35,"31,196,849","891,339"
08,DENVILLE TWP,236,"109,564,499","464,256"
09,DOVER TOWN,274,"94,410,312","344,563"
10,EAST HANOVER TWP,106,"58,537,734","552,243"
11,FLORHAM PARK BORO,34,"21,444,800","630,729"
12,HANOVER TWP,176,"88,410,832","502,334"
13,HARDING TWP,47,"67,937,087","1,445,470"
14,JEFFERSON TWP,134,"52,850,286","394,405"
15,KINNELON BORO,132,"98,226,600","744,141"
16,LINCOLN PARK BORO,171,"63,516,158","371,440"
17,MADISON BORO,162,"132,777,627","819,615"
18,MENDHAM BORO,36,"31,245,799","867,939"
19,MENDHAM TWP,113,"117,790,748","1,042,396"
20,MINE HILL TWP,21,"7,554,400","359,733"
21,MONTVILLE TWP,297,"188,196,504","633,658"
22,MORRIS TWP,234,"147,361,861","629,752"
23,MORRIS PLAINS BORO,93,"44,878,950","482,569"
24,MORRISTOWN TOWN,260,"127,394,057","489,977"
25,MOUNTAIN LAKES BORO,16,"14,438,000","902,375"
26,MOUNT ARLINGTON BORO,101,"37,521,126","371,496"
27,MOUNT OLIVE TWP,300,"131,678,267","438,928"
28,NETCONG BORO,14,"4,344,580","310,327"
29,PARSIPPANY-TROY HILLS TWP,592,"257,323,522","434,668"
30,LONG HILL TWP,87,"51,019,350","586,429"
31,PEQUANNOCK TWP,54,"26,462,768","490,051"
32,RANDOLPH TWP,333,"202,283,472","607,458"
33,RIVERDALE BORO,56,"21,994,400","392,757"
34,ROCKAWAY BORO,71,"25,201,305","354,948"
35,ROCKAWAY TWP,436,"180,367,758","413,688"
36,ROXBURY TWP,362,"148,201,211","409,396"
37,VICTORY GARDENS BORO,8,"1,943,850","242,981"
38,WASHINGTON TWP,206,"110,370,107","535,777"
39,WHARTON BORO,111,"40,462,610","364,528"
 ,MORRIS COUNTY,"5,911","3,123,344,635","528,395"
,,,,
15,OCEAN COUNTY,,,
01,BARNEGAT TWP,390,"112,170,850","287,618"
02,BARNEGAT LIGHT BORO,17,"14,801,117","870,654"
03,BAY HEAD BORO,27,"44,389,400","1,644,052"
04,BEACH HAVEN BORO,66,"57,790,950","875,620"
05,BEACHWOOD BORO,172,"46,983,565","273,160"
06,BERKELEY BORO,"1,057","268,373,397","253,901"
07,BRICK TWP,"1,507","543,693,776","360,779"
08,TOMS RIVER TOWNSHIP,"1,719","626,939,382","364,712"
09,EAGLESWOOD TWP,4,"2,060,499","515,125"
10,HARVEY CEDARS BORO,8,"8,484,550","1,060,569"
11,ISLAND HEIGHTS BORO,28,"11,755,100","419,825"
12,JACKSON TWP,760,"280,378,722","368,919"
13,LACEY TWP,607,"202,396,110","333,437"
14,LAKEHURST BORO,17,"4,314,900","253,818"
15,LAKEWOOD TWP,330,"88,476,587","268,111"
16,LAVALLETTE BORO,59,"52,824,900","895,337"
17,LITTLE EGG HARBOR TWP,195,"49,984,833","256,332"
18,LONG BEACH TWP,205,"230,971,362","1,126,690"
19,MANCHESTER TWP,643,"152,934,984","237,846"
20,MANTOLOKING BORO,17,"56,683,000","3,334,294"
21,OCEAN TWP,160,"51,455,895","321,599"
22,OCEAN GATE BORO,48,"12,247,350","255,153"
23,PINE BEACH BORO,25,"8,560,619","342,425"
24,PLUMSTED TWP,79,"28,035,800","354,884"
25,POINT PLEASANT BORO,287,"124,704,728","434,511"
26,POINT PLEASANT BEACH BORO,118,"70,389,364","596,520"
27,SEASIDE HEIGHTS BORO,116,"35,779,427","308,443"
28,SEASIDE PARK BORO,50,"29,397,175","587,944"
29,SHIP BOTTOM BORO,61,"40,194,650","658,929"
30,SOUTH TOMS RIVER BORO,24,"5,498,400","229,100"
31,STAFFORD BORO,565,"204,720,645","362,337"
32,SURF CITY BORO,50,"45,391,999","907,840"
33,TUCKERTON BORO,95,"24,130,165","254,002"
,OCEAN COUNTY,"9,506","3,536,914,201","372,072"
,,,,
16,PASSAIC COUNTY,,,
01,BLOOMINGDALE BORO,115,"42,714,917","371,434"
02,CLIFTON CITY,"1,003","397,065,139","395,878"
03,HALEDON BORO,122,"43,955,043","360,287"
04,HAWTHORNE BORO,230,"97,198,312","422,601"
05,LITTLE FALLS TWP,150,"58,522,397","390,149"
06,NORTH HALEDON BORO,105,"53,389,500","508,471"
07,PASSAIC CITY,507,"178,707,357","352,480"
