2018 Average Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
06,JERSEY CITY CITY,762 ,"356,915,628 ","468,393 "
07,KEARNY TOWN,119 ,"40,622,473 ","341,365 "
08,NORTH BERGEN TWP,400 ,"150,189,305 ","375,473 "
09,SECAUCUS TOWN,165 ,"68,475,239 ","415,001 "
10,UNION CITY CITY,244 ,"90,373,619 ","370,384 "
11,WEEHAWKEN TWP,73 ,"70,195,868 ","961,587 "
12,WEST NEW YORK TOWN,210 ,"74,923,786 ","356,780 "
,HUDSON COUNTY,"3,503 ","1,844,808,950 ","526,637 "
,,,,
10,HUNTERDON COUNTY,,,
01,ALEXANDRIA TWP,41 ,"16,999,250 ","414,616 "
02,BETHLEHEM TWP,38 ,"17,234,299 ","453,534 "
03,BLOOMSBURY BORO,6 ,"1,702,000 ","283,667 "
04,CALIFON BORO,15 ,"5,106,890 ","340,459 "
05,CLINTON TOWN,17 ,"5,700,000 ","335,294 "
06,CLINTON TWP,155 ,"62,584,390 ","403,770 "
07,DELAWARE TWP,40 ,"18,028,265 ","450,707 "
08,EAST AMWELL TWP,30 ,"13,152,400 ","438,413 "
09,FLEMINGTON BORO,14 ,"3,989,000 ","284,929 "
10,FRANKLIN TWP,26 ,"12,275,400 ","472,131 "
11,FRENCHTOWN BORO,20 ,"5,698,650 ","284,933 "
12,GLEN GARDNER BORO,27 ,"4,992,937 ","184,924 "
13,HAMPTON BORO,9 ,"2,386,400 ","265,156 "
14,HIGH BRIDGE BORO,15 ,"3,538,001 ","235,867 "
15,HOLLAND TWP,55 ,"16,881,345 ","306,934 "
16,KINGWOOD TWP,27 ,"10,133,575 ","375,318 "
17,LAMBERTVILLE CITY,32 ,"13,732,400 ","429,138 "
18,LEBANON BORO,15 ,"4,795,500 ","319,700 "
19,LEBANON TWP,48 ,"21,506,800 ","448,058 "
20,MILFORD BORO,10 ,"2,352,700 ","235,270 "
21,RARITAN TWP,324 ,"128,490,795 ","396,577 "
22,READINGTON TWP,187 ,"80,966,955 ","432,978 "
23,STOCKTON BORO,11 ,"4,072,300 ","370,209 "
24,TEWKSBURY TWP,66 ,"47,172,328 ","714,732 "
25,UNION TWP,72 ,"24,453,024 ","339,625 "
26,WEST AMWELL TWP,8 ,"3,620,400 ","452,550 "
,HUNTERDON COUNTY,"1,308 ","531,566,004 ","406,396 "
,,,,
11,MERCER COUNTY,,,
01,EAST WINDSOR TWP,282 ,"79,983,932 ","283,631 "
02,EWING TWP,298 ,"59,771,880 ","200,577 "
03,HAMILTON TWP,764 ,"182,949,788 ","239,463 "
04,HIGHTSTOWN BORO,48 ,"11,968,800 ","249,350 "
05,HOPEWELL BORO,32 ,"14,092,500 ","440,391 "
06,HOPEWELL TWP,223 ,"108,753,007 ","487,682 "
07,LAWRENCE TWP,337 ,"109,384,908 ","324,584 "
08,PENNINGTON BORO,34 ,"17,573,400 ","516,865 "
11,TRENTON CITY,263 ,"20,870,985 ","79,357 "
12,ROBBINSVILLE TWP,256 ,"100,344,423 ","391,970 "
13,WEST WINDSOR TWP,323 ,"193,377,567 ","598,692 "
14,PRINCETON,234 ,"225,976,941 ","965,713 "
,MERCER COUNTY,"3,094 ","1,125,048,131 ","363,623 "
,,,,
