,City,Lat,Lon,# of Sales,Total Sales Price,Avg Sale Price
10,STONE HARBOR BORO,40.500254,-74.4257,142,"$219,237,568.00 ","1,543,927"
11,UPPER TWP,40.500254,-74.4257,104,"$39,222,509.00 ","377,140"
12,WEST CAPE MAY BORO,40.500254,-74.4257,27,"$12,132,500.00 ","449,352"
13,WEST WILDWOOD BORO,40.500254,-74.4257,16,"$3,910,400.00 ","244,400"
14,WILDWOOD CITY,40.500254,-74.4257,175,"$36,805,055.00 ","210,315"
15,WILDWOOD CREST BORO,40.500254,-74.4257,224,"$76,693,362.00 ","342,381"
16,WOODBINE BORO,40.500254,-74.4257,3,"$730,000.00 ","243,333"
1,BRIDGETON CITY,40.912798,-74.41516,46,"$4,270,800.00 ","92,843"
2,COMMERCIAL TWP,40.879699,-74.14263,19,"$2,509,400.00 ","132,074"
3,DEERFIELD TWP,40.656302,-74.30371,13,"$2,076,900.00 ","159,762"
4,DOWNE TWP,40.656302,-74.30371,9,"$1,402,500.00 ","155,833"
5,FAIRFIELD TWP,40.827499,-74.28091,14,"$2,322,900.00 ","165,921"
6,GREENWICH TWP,40.80495,-74.2047,0,0,0
7,HOPEWELL TWP,40.744851,-74.03294,15,"$2,922,300.00 ","194,820"
8,LAWRENCE TWP,40.744851,-74.03294,24,"$4,252,200.00 ","177,175"
9,MAURICE RIVER TWP,40.502477,-74.650023,13,"$2,066,020.00 ","158,925"
10,MILLVILLE CITY,40.451105,-74.43938,174,"$26,393,912.00 ","151,689"
11,SHILOH BORO,40.430006,-74.417344,3,"$328,000.00 ","109,333"
12,STOW CREEK TWP,40.500254,-74.4257,4,"$744,400.00 ","186,100"
13,UPPER DEERFIELD TWP,40.500254,-74.4257,63,"$11,998,120.00 ","190,446"
14,VINELAND CITY,40.500254,-74.4257,329,"$58,752,079.00 ","178,578"
1,BELLEVILLE TWP,40.666552,-74.11768,160,"$40,608,021.00 ","253,800"
2,BLOOMFIELD TWP,40.803,-74.18895,381,"$120,488,868.00 ","316,244"
3,CALDWELL BORO TWP,40.848999,-74.27917,28,"$11,417,700.00 ","407,775"
4,CEDAR GROVE TWP,40.855854,-74.22898,101,"$49,562,453.00 ","490,717"
5,EAST ORANGE CITY,40.770933,-74.20589,148,"$27,469,114.00 ","185,602"
6,ESSEX FELLS TWP,40.827499,-74.28091,10,"$13,302,600.00 ","1,330,260"
7,FAIRFIELD TWP,40.827499,-74.28091,76,"$37,781,211.00 ","497,121"
8,GLEN RIDGE BORO,40.80495,-74.2047,97,"$70,613,669.00 ","727,976"
9,IRVINGTON TWP,40.744851,-74.03294,30,"$4,474,900.00 ","149,163"
10,LIVINGSTON TWP,40.850621,-74.04112,341,"$224,222,071.00 ","657,543"
11,MAPLEWOOD TWP,40.502477,-74.650023,113,"$69,946,422.00 ","618,995"
12,MILLBURN TWP,40.587606,-75.10402,123,"$157,414,184.00 ","1,279,790"
13,MONTCLAIR TWP,40.389428,-74.54329,417,"$303,185,775.00 ","727,064"
14,NEWARK CITY,40.51057,-74.72472,895,"$215,134,722.00 ","240,374"
15,NORTH CALDWELL TWP,40.51057,-74.72472,62,"$47,956,450.00 ","773,491"
16,NUTLEY TWP,40.51057,-74.72472,247,"$92,386,762.00 ","374,035"
17,ORANGE CITY TWP,40.681694,-74.73624,35,"$10,095,800.00 ","288,451"
