2005 Residential Sales Price Per Municipality,,,,,,,
,,# of Sales,Total Sales Price,Avg Sale Price,,,
12,WEST NEW YORK TOWN,316,"87,804,952","277,864",,,
,HUDSON COUNTY,"7,177","2,383,586,074","332,115",,,
,,,,,,,
10,HUNTERDON COUNTY,,,,,,
01,ALEXANDRIA TWP,51,"23,174,915","454,410",,,
02,BETHLEHAM TWP,60,"28,714,377","478,573",,,
03,BLOOMSBURY BORO,23,"7,104,754","308,902",,,
04,CALIFON BORO,18,"6,741,800","374,544",,,
05,CLINTON TOWN,23,"8,358,800","363,426",,,
06,CLINTON TWP,257,"109,178,130","424,818",,,
07,DELAWARE TWP,16,"6,624,250","414,016",,,
08,EAST AMWELL TWP,17,"8,145,770","479,163",,,
09,FLEMINGTON BORO,14,"4,844,800","346,057",,,
10,FRANKLIN TWP,41,"19,841,700","483,944",,,
11,FRENCHTOWN BORO,24,"7,143,700","297,654",,,
12,GLEN GARDNER BORO,71,"14,589,800","205,490",,,
13,HAMPTON BORO,24,"6,088,399","253,683",,,
14,HIGH BRIDGE BORO,32,"8,612,600","269,144",,,
15,HOLLAND TWP,35,"13,406,200","383,034",,,
16,KINGWOOD TWP,38,"16,131,037","424,501",,,
17,LAMBERTVILLE CITY ,46,"16,113,760","350,299",,,
18,LEBANON BORO,25,"7,982,690","319,308",,,
19,LEBANON TWP,78,"31,861,500","408,481",,,
20,MILFORD BORO,17,"4,730,916","278,289",,,
21,RARITAN TWP,451,"176,099,923","390,465",,,
22,READINGTON TWP,271,"121,604,338","448,724",,,
23,STOCKTON BORO,9,"3,141,401","349,045",,,
24,TEWKSBURY TWP,99,"69,502,386","702,044",,,
25,UNION TWP,110,"36,882,700","335,297",,,
26,WEST AMWELL TWP,7,"3,255,000","465,000",,,
,HUNTERDON COUNTY,"1,857","759,875,646","409,195",,,
,,,,,,,
11,MERCER COUNTY,,,,,,
01,EAST WINDSOR TWP,651,"167,215,659","256,860",,,
02,EWING TWP,596,"132,823,117","222,858",,,
03,HAMILTON TWP,"1,312","295,718,495","225,395",,,
04,HIGHTSTOWN BORO,134,"35,997,035","268,635",,,
05,HOPEWELL BORO,29,"13,611,300","469,355",,,
06,HOPEWELL TWP,306,"152,070,676","496,963",,,
07,LAWRENCE TWP,625,"188,219,119","301,151",,,
08,PENNIGTON BORO,63,"30,122,550","478,136",,,
09,PRINCETON BORO,109,"89,908,582","824,849",,,
10,PRINCETON TWP,269,"217,446,014","808,349",,,
11,TRENTON CITY,856,"73,469,410","85,829",,,
12,ROBBINSVILLE TWP,260,"87,008,850","334,649",,,
13,WEST WINDSOR TWP,463,"218,067,333","470,988",,,
,MERCER COUNTY,"5,673","1,701,678,140","299,961",,,
,,,,,,,
12,MIDDLESEX COUNTY,,,,,,
01,CARTERET BORO,333,"91,096,891","273,564",,,
02,CRANBURY TWP,34,"18,987,100","558,444",,,
03,DUNELLEN BORO,124,"33,143,380","267,285",,,
04,EAST BRUNSWICK TWP,777,"270,971,413","348,741",,,
05,EDISON TWP,"1,434","488,969,275","340,983",,,
06,HELMETTA BORO,64,"14,691,600","229,556",,,
07,HIGHLAND PARK BORO,129,"45,791,726","354,975",,,
08,JAMESBURG BORO,120,"31,842,499","265,354",,,
09,METUCHEN BORO,256,"90,649,741","354,101",,,
10,MIDDLESEX BORO,140,"42,346,796","302,477",,,
11,MILLTOWN BORO,107,"36,055,405","336,966",,,
12,MONROE TWP,594,"186,057,425","313,228",,,
13,NEW BRUNSWICK CITY,436,"124,329,324","285,159",,,
14,NORTH BRUNSWICK TWP,753,"225,277,635","299,173",,,
15,OLD BRIDGE TWP,964,"316,601,398","328,425",,,
16,PERTH AMBOY CITY,559,"151,328,139","270,712",,,
17,PISCATAWAY TWP,749,"234,253,837","312,755",,,
18,PLAINSBORO TWP,153,"45,725,928","298,862",,,
19,SAYREVILLE BORO,625,"185,553,331","296,885",,,
20,SOUTH AMBOY CITY,43,"13,628,125","316,933",,,
21,SOUTH BRUNSWICK TWP,720,"260,957,379","362,441",,,
22,SOUTH PLAINSFIELD BORO,322,"100,086,709","310,828",,,
23,SOUTH RIVER BORO,220,"64,143,717","291,562",,,
24,SPOTSWOOD BORO,38,"11,058,900","291,024",,,
25,WOODBRIDGE TWP,"1,341","382,722,368","285,401",,,
,MIDDLESEX COUNTY,"11,035","3,466,270,041","314,116",,,
,,,,,,,
13,MOMMOUTH COUNTY,,,,,,
01,ABERDEEN TWP,379,"110,302,222","291,035",,,
02,ALLENHURST BORO,15,"16,898,000","1,126,533",,,
03,ALLENTOWN BORO,21,"6,472,600","308,219",,,
04,ASBURY PARK CITY,233,"53,696,350","230,456",,,
05,ATLANTIC HIGHLANDS BORO,92,"37,840,000","411,304",,,
06,AVON-BY-THE-SEA BOR,38,"26,231,600","690,305",,,
07,BELMAR BORO,122,"61,427,200","503,502",,,
08,BRADLEY BEACH BORO,88,"38,254,450","434,710",,,
09,BRIELLE BORO,95,"64,038,185","674,086",,,
10,COLTS NECK TWP,126,"116,684,921","926,071",,,
11,DEAL BORO,9,"15,230,000","1,692,222",,,
