Num,Municipality Name,Municipality Code,County,Latitude,Longitude,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
45,GLEN ROCK BOROUGH,222,Bergen,40.96,-74.12,"$348,059.79 ","$360,682.00 ","$402,898.00 ","$431,768.00 ","$518,820.00 ","$586,230.00 ","$626,354.00 ","$625,439.00 ","$636,677.00 ","$621,838.00 ","$563,031.00 ","$566,624.00 ","$582,707.00 ","$594,438.00 ","$598,586.00 ","$596,504.00 ","$611,676.00 ","$595,771.00 ","$641,264.00 ","$636,697 "
46,HACKENSACK CITY,223,Bergen,40.89,-74.05,"$145,304.22 ","$159,030.00 ","$185,490.00 ","$209,467.00 ","$243,207.00 ","$281,842.00 ","$338,130.00 ","$347,839.00 ","$318,194.00 ","$292,203.00 ","$267,200.00 ","$259,311.00 ","$240,139.00 ","$231,321.00 ","$235,203.00 ","$238,266.00 ","$267,254.00 ","$256,309.00 ","$258,095.00 ","$262,830 "
47,HARRINGTON PARK BOROUGH,224,Bergen,40.99,-73.98,"$350,937.09 ","$408,803.00 ","$442,694.00 ","$469,956.00 ","$534,383.00 ","$569,666.00 ","$613,288.00 ","$658,378.00 ","$661,362.00 ","$609,924.00 ","$577,448.00 ","$568,513.00 ","$562,257.00 ","$556,262.00 ","$578,306.00 ","$578,340.00 ","$591,730.00 ","$572,911.00 ","$621,542.00 ","$617,663 "
48,HASBROUCK HEIGHTS BOROUGH,225,Bergen,40.86,-74.07,"$230,340.82 ","$248,719.00 ","$272,680.00 ","$335,604.00 ","$362,430.00 ","$417,149.00 ","$460,197.00 ","$459,335.00 ","$450,781.00 ","$414,427.00 ","$380,699.00 ","$397,347.00 ","$374,224.00 ","$372,580.00 ","$393,334.00 ","$405,672.00 ","$408,889.00 ","$426,641.00 ","$479,776.00 ","$477,434 "
49,HAWORTH BOROUGH,226,Bergen,40.96,-74,"$402,929.41 ","$458,632.00 ","$469,592.00 ","$525,064.00 ","$638,333.00 ","$678,717.00 ","$799,381.00 ","$768,532.00 ","$694,767.00 ","$944,786.00 ","$767,273.00 ","$813,814.00 ","$779,658.00 ","$695,125.00 ","$793,310.00 ","$728,091.00 ","$701,979.00 ","$751,305.00 ","$725,543.00 ","$743,868 "
50,HILLSDALE BOROUGH,227,Bergen,41.01,-74.04,"$289,724.69 ","$328,360.00 ","$348,060.00 ","$418,371.00 ","$456,877.00 ","$509,006.00 ","$565,032.00 ","$539,212.00 ","$550,794.00 ","$556,672.00 ","$524,369.00 ","$512,128.00 ","$519,833.00 ","$477,776.00 ","$486,813.00 ","$510,223.00 ","$515,177.00 ","$521,404.00 ","$522,591.00 ","$509,485 "
51,HO-HO-KUS BOROUGH,228,Bergen,41,-74.1,"$552,277.47 ","$541,186.00 ","$594,327.00 ","$628,400.00 ","$757,394.00 ","$765,280.00 ","$874,961.00 ","$850,421.00 ","$850,044.00 ","$911,468.00 ","$842,187.00 ","$1,014,341.00 ","$804,064.00 ","$739,869.00 ","$751,335.00 ","$900,397.00 ","$860,924.00 ","$816,388.00 ","$829,453.00 ","$909,643 "
52,LEONIA BOROUGH,229,Bergen,40.86,-73.99,"$266,225.32 ","$266,407.00 ","$351,953.00 ","$379,425.00 ","$430,399.00 ","$479,393.00 ","$538,875.00 ","$537,840.00 ","$549,948.00 ","$458,452.00 ","$436,659.00 ","$463,619.00 ","$393,023.00 ","$422,620.00 ","$440,609.00 ","$502,285.00 ","$494,018.00 ","$482,917.00 ","$500,465.00 ","$514,764 "
53,LITTLE FERRY BOROUGH,230,Bergen,40.85,-74.04,"$165,205.43 ","$186,569.00 ","$212,982.00 ","$252,952.00 ","$301,344.00 ","$350,615.00 ","$373,844.00 ","$377,281.00 ","$350,971.00 ","$343,108.00 ","$286,520.00 ","$297,260.00 ","$274,109.00 ","$243,588.00 ","$234,097.00 ","$258,691.00 ","$273,883.00 ","$287,525.00 ","$329,972.00 ","$328,748 "
54,LODI BOROUGH,231,Bergen,40.88,-74.08,"$183,940.31 ","$210,515.00 ","$219,353.00 ","$268,483.00 ","$322,723.00 ","$350,107.00 ","$415,490.00 ","$420,178.00 ","$388,042.00 ","$337,861.00 ","$299,436.00 ","$344,223.00 ","$303,870.00 ","$282,768.00 ","$312,529.00 ","$312,279.00 ","$308,303.00 ","$347,361.00 ","$356,019.00 ","$384,799 "
55,LYNDHURST,232,Bergen,40.8,-74.12,"$197,334.12 ","$206,060.00 ","$234,837.00 ","$280,884.00 ","$327,372.00 ","$380,773.00 ","$445,578.00 ","$436,218.00 ","$390,389.00 ","$368,592.00 ","$352,647.00 ","$359,792.00 ","$340,741.00 ","$318,790.00 ","$322,911.00 ","$320,651.00 ","$353,201.00 ","$365,169.00 ","$381,163.00 ","$386,802 "
56,MAHWAH,233,Bergen,41.086,-74.13,"$287,787.11 ","$342,853.00 ","$367,146.00 ","$428,036.00 ","$458,335.00 ","$513,603.00 ","$542,725.00 ","$569,532.00 ","$567,064.00 ","$495,809.00 ","$496,900.00 ","$481,453.00 ","$486,718.00 ","$511,519.00 ","$516,361.00 ","$515,023.00 ","$486,315.00 ","$498,836.00 ","$529,757.00 ","$534,500 "
57,MAYWOOD BOROUGH,234,Bergen,40.9,-74.06,"$208,663.58 ","$238,330.00 ","$263,884.00 ","$309,796.00 ","$346,165.00 ","$390,208.00 ","$446,452.00 ","$437,827.00 ","$398,915.00 ","$354,346.00 ","$376,104.00 ","$377,231.00 ","$343,956.00 ","$340,771.00 ","$360,285.00 ","$364,746.00 ","$365,115.00 ","$397,772.00 ","$407,138.00 ","$422,193 "
58,MIDLAND PARK BOROUGH,235,Bergen,41,-74.14,"$274,815.63 ","$281,924.00 ","$344,825.00 ","$357,141.00 ","$395,428.00 ","$434,683.00 ","$489,718.00 ","$495,770.00 ","$484,636.00 ","$470,329.00 ","$435,843.00 ","$432,496.00 ","$391,663.00 ","$376,551.00 ","$427,819.00 ","$502,072.00 ","$455,684.00 ","$461,096.00 ","$486,209.00 ","$480,070 "
59,MONTVALE BOROUGH,236,Bergen,41.05,-74.05,"$333,972.74 ","$371,501.00 ","$420,153.00 ","$482,179.00 ","$511,220.00 ","$607,753.00 ","$619,087.00 ","$677,732.00 ","$609,766.00 ","$672,926.00 ","$566,920.00 ","$653,161.00 ","$628,202.00 ","$564,062.00 ","$596,158.00 ","$572,219.00 ","$637,314.00 ","$613,712.00 ","$604,980.00 ","$650,272 "
