,stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,City,County,Municipality,Muni Code
19,19,95019,BLOOMFIELD,40.792709,-74.200043,1101,Bloomfield,Essex County,Bloomfield Township,702
20,154,95154,WATSESSING AVENUE,40.782743,-74.198451,1101,Bloomfield,Essex County,Bloomfield Township,702
21,38065,30539,GROVE STREET LIGHT RAIL STATION,40.780317,-74.187931,336,Bloomfield,Essex County,Bloomfield Township,702
22,20,95020,BOONTON,40.903378,-74.407736,3661,Boonton,Morris County,Boonton,1401
23,38294,30858,BORDENTOWN LIGHT RAIL STATION,40.14811,-74.716271,336,Bordentown,Burlington County,Bordentown,303
24,21,95021,BOUND BROOK,40.560929,-74.530617,3661,Bound Brook,Somerset County,Bound Brook Borough,1804
25,22,95022,BRADLEY BEACH,40.203751,-74.018891,5453,Bradley Beach,Monmouth County,Bradley Beach Borough,1308
82,64,95064,HOHOKUS,40.997369,-74.113521,2637,Ho-Ho-Kus,Bergen County,Ho-Ho-Kus Borough,228
28,38297,30861,BURLINGTON TOWNE CTR LIGHT RAIL STATION,40.077358,-74.859421,336,Burlington,Burlington County,Burlington,305
29,38298,30862,BURLINGTON SOUTH LIGHT RAIL STATION,40.074558,-74.868981,336,Burlington,Burlington County,Burlington,305
30,38307,30871,WALTER RAND TRANSPORTATION CTR,39.943258,-75.12021,336,Camden,Camden County,Camden,408
31,38308,30872,COOPER STREET/RUTGERS LIGHT RAIL STATION,39.947598,-75.12407,336,Camden,Camden County,Camden,408
32,38309,30873,AQUARIUM LIGHT RAIL STATION,39.945658,-75.128682,336,Camden,Camden County,Camden,408
33,38310,30874,ENTERTAINMENT CENTER LIGHT RAIL STATION,39.94094,-75.128473,336,Camden,Camden County,Camden,408
223,160,95160,WOOD-RIDGE,40.843974,-74.078719,845,Wood-Ridge,Bergen County,Wood-Ridge Borough,269
35,27,95027,CHATHAM,40.740137,-74.384812,2637,Chatham,Morris County,Chatham Borough,1404
36,28,95028,CHERRY HILL,39.928447,-75.041661,5197,Cherry Hill,Camden County,Chesilhurst Borough,410
224,43599,95184,WESMONT,40.854979,-74.096951,1101,Wood-Ridge,Bergen County,Wood-Ridge Borough,269
37,38302,30866,CINNAMINSON LIGHT RAIL STATION,40.016557,-74.999942,336,Cinnaminson,Burlington County,Cinnaminson Township,308
43,38300,30864,DELANCO LIGHT RAIL STATION,40.048068,-74.95028,336,Delanco,Burlington County,Delanco Township,309
40,29,95029,CLIFTON,40.867998,-74.153203,1357,Clifton,Passaic County,Clifton,1602
41,33,95033,DELAWANNA,40.831369,-74.131262,845,Clifton,Passaic County,Clifton,1602
42,32,95032,CRANFORD,40.655523,-74.303226,1869,Cranford,Union County,Cranford Township,2003
60,38295,30859,ROEBLING LIGHT RAIL STATION,40.116909,-74.770202,336,Florence Township,Burlington County,Florence Township,315
44,34,95034,DENVILLE,40.8839,-74.481513,4173,Denville,Morris County,Denville Township,1408
45,94,95094,MOUNT TABOR,40.875904,-74.481915,4173,Denville,Morris County,Denville Township,1408
46,35,95035,DOVER,40.883415,-74.555887,4429,Dover,Morris County,Dover,1409
47,36,95036,DUNELLEN,40.590869,-74.463043,3149,Dunellen,Middlesex County,Dunellen Borough,1203
48,23,95023,BRICK CHURCH,40.765134,-74.218612,1101,East Orange,Essex County,East Orange,705
49,37,95037,EAST ORANGE,40.760977,-74.210464,1101,East Orange,Essex County,East Orange,705
50,134,95134,RUTHERFORD,40.828248,-74.100563,845,East Rutherford,Bergen County,East Rutherford Borough,212
51,38,95038,EDISON STATION,40.519148,-74.410972,3405,Edison,Middlesex County,Edison Township,1205
52,39,95039,EGG HARBOR,39.526441,-74.648028,1613,Egg Harbor City,Atlantic County,Egg Harbor City,107
53,41,95041,ELIZABETH,40.667857,-74.215174,1357,Elizabeth,Union County,Elizabeth,2004
54,109,95109,NORTH ELIZABETH,40.680265,-74.206165,1357,Elizabeth,Union County,Elizabeth,2004
55,42,95042,EMERSON,40.975036,-74.027471,2125,Emerson,Bergen County,Emerson Borough,214
56,25,95025,BROADWAY,40.922505,-74.115236,1613,Fair Lawn,Bergen County,Fair Lawn Borough,217
57,126,95126,RADBURN,40.939916,-74.121614,1613,Fair Lawn,Bergen County,Fair Lawn Borough,217
58,44,95044,FANWOOD,40.64106,-74.385003,2381,Fanwood,Union County,Fanwood Borough,2005
59,45,95045,FAR HILLS,40.685712,-74.633734,4429,Far Hills,Somerset County,Far Hills Borough,1807
61,38296,30860,FLORENCE LIGHT RAIL STATION,40.100048,-74.805112,336,Florence Township,Burlington County,Florence Township,315
99,71,95071,LINDENWOLD,39.833809,-75.000314,4941,Lindenwold,Camden County,Lindenwold Borough,422
62,46,95046,GARFIELD,40.866669,-74.10556,1101,Garfield,Bergen County,Garfield,221
63,121,95121,PLAUDERVILLE,40.884916,-74.102695,1357,Garfield,Bergen County,Garfield,221
64,47,95047,GARWOOD,40.652569,-74.324794,2125,Garwood,Union County,Garwood Borough,2006
65,49,95049,GLADSTONE,40.720284,-74.666371,4685,Gladstone,Somerset County,Peapack-Gladstone Borough,1815
66,50,95050,GLEN RIDGE,40.80059,-74.204655,1101,Glen Ridge,Essex County,Glen Ridge Borough,708
67,51,95051,GLEN ROCK BORO HALL,40.96137,-74.1293,2125,Glen Rock,Bergen County,Glen Rock Borough,222
68,52,95052,GLEN ROCK MAIN LINE,40.962206,-74.133485,2125,Glen Rock,Bergen County,Glen Rock Borough,222
69,5,95005,ANDERSON STREET,40.894458,-74.043781,1357,Hackensack,Bergen County,Hackensack,223
70,43,95043,ESSEX STREET,40.878973,-74.051893,1357,Hackensack,Bergen County,Hackensack,223
71,54,95054,HACKETTSTOWN,40.851444,-74.835352,4941,Hackettstown,Warren County,Hackettstown,2108
170,38305,30869,ROUTE 73/PENNSAUKEN LIGHT RAIL STATION,39.993109,-75.03961,336,Pennsauken Township,Camden County,Pennsauken Township,427
73,55,95055,HAMMONTON,39.631673,-74.79946,2893,Hammonton,Atlantic County,Hammonton,113
171,38306,30870,36TH STREET LIGHT RAIL STATION,39.96096,-75.079622,336,Pennsauken Township,Camden County,Pennsauken Township,427
75,146,95146,TETERBORO,40.864858,-74.062676,1101,Hasbrouck Heights,Bergen County,Hasbrouck Heights Borough,225
76,58,95058,HAWTHORNE,40.942539,-74.152411,1869,Hawthorne,Passaic County,Hawthorne Borough,1604
77,59,95059,HAZLET,40.415385,-74.190393,4173,Hazlet,Monmouth County,Hazlet Township,1318
78,60,95060,HIGH BRIDGE,40.666884,-74.895863,5453,High Bridge,Hunterdon County,High Bridge Borough,1014
79,62,95062,HILLSDALE,41.002414,-74.041033,2381,Hillsdale,Bergen County,Hillsdale Borough,227
80,63,95063,HOBOKEN,40.734843,-74.028046,336,Hoboken,Hudson County,Hoboken,905
81,39348,30829,HOBOKEN TERMINAL LIGHT RAIL STATION,40.734059,-74.029192,336,Hoboken,Hudson County,Hoboken,905
